"","geo_value","signal","time_value","direction","issue","lag","value","stderr","sample_size","data_source"
"1","ca","confirmed_incidence_num",2020-03-15,NA,2020-10-14,213,1,NA,NA,"jhu-csse"
"2","ca","confirmed_incidence_num",2020-03-16,NA,2020-10-14,212,184,NA,NA,"jhu-csse"
"3","ca","confirmed_incidence_num",2020-03-17,NA,2020-10-14,211,143,NA,NA,"jhu-csse"
"4","ca","confirmed_incidence_num",2020-03-18,NA,2020-10-14,210,131,NA,NA,"jhu-csse"
"5","ca","confirmed_incidence_num",2020-03-19,NA,2020-10-14,209,178,NA,NA,"jhu-csse"
"6","ca","confirmed_incidence_num",2020-03-20,NA,2020-10-14,208,234,NA,NA,"jhu-csse"
"7","ca","confirmed_incidence_num",2020-03-21,NA,2020-10-14,207,169,NA,NA,"jhu-csse"
"8","ca","confirmed_incidence_num",2020-03-22,NA,2020-10-14,206,239,NA,NA,"jhu-csse"
"9","ca","confirmed_incidence_num",2020-03-23,NA,2020-10-14,205,462,NA,NA,"jhu-csse"
"10","ca","confirmed_incidence_num",2020-03-24,NA,2020-10-14,204,429,NA,NA,"jhu-csse"
"11","ca","confirmed_incidence_num",2020-03-25,NA,2020-10-14,203,467,NA,NA,"jhu-csse"
"12","ca","confirmed_incidence_num",2020-03-26,NA,2020-10-14,202,901,NA,NA,"jhu-csse"
"13","ca","confirmed_incidence_num",2020-03-27,NA,2020-10-14,201,769,NA,NA,"jhu-csse"
"14","ca","confirmed_incidence_num",2020-03-28,NA,2020-10-14,200,431,NA,NA,"jhu-csse"
"15","ca","confirmed_incidence_num",2020-03-29,NA,2020-10-14,199,753,NA,NA,"jhu-csse"
"16","ca","confirmed_incidence_num",2020-03-30,NA,2020-10-14,198,1292,NA,NA,"jhu-csse"
"17","ca","confirmed_incidence_num",2020-03-31,NA,2020-10-14,197,1078,NA,NA,"jhu-csse"
"18","ca","confirmed_incidence_num",2020-04-01,NA,2020-10-14,196,1177,NA,NA,"jhu-csse"
"19","ca","confirmed_incidence_num",2020-04-02,NA,2020-10-14,195,1380,NA,NA,"jhu-csse"
"20","ca","confirmed_incidence_num",2020-04-03,NA,2020-10-14,194,1226,NA,NA,"jhu-csse"
"21","ca","confirmed_incidence_num",2020-04-04,NA,2020-10-14,193,821,NA,NA,"jhu-csse"
"22","ca","confirmed_incidence_num",2020-04-05,NA,2020-10-14,192,2197,NA,NA,"jhu-csse"
"23","ca","confirmed_incidence_num",2020-04-06,NA,2020-10-14,191,990,NA,NA,"jhu-csse"
"24","ca","confirmed_incidence_num",2020-04-07,NA,2020-10-14,190,1327,NA,NA,"jhu-csse"
"25","ca","confirmed_incidence_num",2020-04-08,NA,2020-10-14,189,1546,NA,NA,"jhu-csse"
"26","ca","confirmed_incidence_num",2020-04-09,NA,2020-10-14,188,813,NA,NA,"jhu-csse"
"27","ca","confirmed_incidence_num",2020-04-10,NA,2020-10-14,187,1371,NA,NA,"jhu-csse"
"28","ca","confirmed_incidence_num",2020-04-11,NA,2020-10-14,186,636,NA,NA,"jhu-csse"
"29","ca","confirmed_incidence_num",2020-04-12,NA,2020-10-14,185,1083,NA,NA,"jhu-csse"
"30","ca","confirmed_incidence_num",2020-04-13,NA,2020-10-14,184,1134,NA,NA,"jhu-csse"
"31","ca","confirmed_incidence_num",2020-04-14,NA,2020-10-14,183,1455,NA,NA,"jhu-csse"
"32","ca","confirmed_incidence_num",2020-04-15,NA,2020-10-14,182,1297,NA,NA,"jhu-csse"
