"","geo_value","signal","time_value","direction","issue","lag","value","stderr","sample_size","data_source"
"1","ca","deaths_incidence_num",2020-03-15,NA,2020-10-14,213,2,NA,NA,"jhu-csse"
"2","ca","deaths_incidence_num",2020-03-16,NA,2020-10-14,212,2,NA,NA,"jhu-csse"
"3","ca","deaths_incidence_num",2020-03-17,NA,2020-10-14,211,5,NA,NA,"jhu-csse"
"4","ca","deaths_incidence_num",2020-03-18,NA,2020-10-14,210,4,NA,NA,"jhu-csse"
"5","ca","deaths_incidence_num",2020-03-19,NA,2020-10-14,209,2,NA,NA,"jhu-csse"
"6","ca","deaths_incidence_num",2020-03-20,NA,2020-10-14,208,6,NA,NA,"jhu-csse"
"7","ca","deaths_incidence_num",2020-03-21,NA,2020-10-14,207,1,NA,NA,"jhu-csse"
"8","ca","deaths_incidence_num",2020-03-22,NA,2020-10-14,206,5,NA,NA,"jhu-csse"
"9","ca","deaths_incidence_num",2020-03-23,NA,2020-10-14,205,9,NA,NA,"jhu-csse"
"10","ca","deaths_incidence_num",2020-03-24,NA,2020-10-14,204,11,NA,NA,"jhu-csse"
"11","ca","deaths_incidence_num",2020-03-25,NA,2020-10-14,203,15,NA,NA,"jhu-csse"
"12","ca","deaths_incidence_num",2020-03-26,NA,2020-10-14,202,16,NA,NA,"jhu-csse"
"13","ca","deaths_incidence_num",2020-03-27,NA,2020-10-14,201,13,NA,NA,"jhu-csse"
"14","ca","deaths_incidence_num",2020-03-28,NA,2020-10-14,200,16,NA,NA,"jhu-csse"
"15","ca","deaths_incidence_num",2020-03-29,NA,2020-10-14,199,14,NA,NA,"jhu-csse"
"16","ca","deaths_incidence_num",2020-03-30,NA,2020-10-14,198,22,NA,NA,"jhu-csse"
"17","ca","deaths_incidence_num",2020-03-31,NA,2020-10-14,197,27,NA,NA,"jhu-csse"
"18","ca","deaths_incidence_num",2020-04-01,NA,2020-10-14,196,26,NA,NA,"jhu-csse"
"19","ca","deaths_incidence_num",2020-04-02,NA,2020-10-14,195,39,NA,NA,"jhu-csse"
"20","ca","deaths_incidence_num",2020-04-03,NA,2020-10-14,194,27,NA,NA,"jhu-csse"
"21","ca","deaths_incidence_num",2020-04-04,NA,2020-10-14,193,24,NA,NA,"jhu-csse"
"22","ca","deaths_incidence_num",2020-04-05,NA,2020-10-14,192,59,NA,NA,"jhu-csse"
"23","ca","deaths_incidence_num",2020-04-06,NA,2020-10-14,191,32,NA,NA,"jhu-csse"
"24","ca","deaths_incidence_num",2020-04-07,NA,2020-10-14,190,52,NA,NA,"jhu-csse"
"25","ca","deaths_incidence_num",2020-04-08,NA,2020-10-14,189,63,NA,NA,"jhu-csse"
"26","ca","deaths_incidence_num",2020-04-09,NA,2020-10-14,188,49,NA,NA,"jhu-csse"
"27","ca","deaths_incidence_num",2020-04-10,NA,2020-10-14,187,39,NA,NA,"jhu-csse"
"28","ca","deaths_incidence_num",2020-04-11,NA,2020-10-14,186,21,NA,NA,"jhu-csse"
"29","ca","deaths_incidence_num",2020-04-12,NA,2020-10-14,185,36,NA,NA,"jhu-csse"
"30","ca","deaths_incidence_num",2020-04-13,NA,2020-10-14,184,74,NA,NA,"jhu-csse"
"31","ca","deaths_incidence_num",2020-04-14,NA,2020-10-14,183,53,NA,NA,"jhu-csse"
"32","ca","deaths_incidence_num",2020-04-15,NA,2020-10-14,182,93,NA,NA,"jhu-csse"
"33","ca","deaths_incidence_num",2020-04-16,NA,2020-10-14,181,96,NA,NA,"jhu-csse"
"34","ca","deaths_incidence_num",2020-04-17,NA,2020-10-14,180,81,NA,NA,"jhu-csse"
"35","ca","deaths_incidence_num",2020-04-18,NA,2020-10-14,179,103,NA,NA,"jhu-csse"
"36","ca","deaths_incidence_num",2020-04-19,NA,2020-10-14,178,37,NA,NA,"jhu-csse"
"37","ca","deaths_incidence_num",2020-04-20,NA,2020-10-14,177,48,NA,NA,"jhu-csse"
"38","ca","deaths_incidence_num",2020-04-21,NA,2020-10-14,176,57,NA,NA,"jhu-csse"
"39","ca","deaths_incidence_num",2020-04-22,NA,2020-10-14,175,139,NA,NA,"jhu-csse"
"40","ca","deaths_incidence_num",2020-04-23,NA,2020-10-14,174,112,NA,NA,"jhu-csse"
"41","ca","deaths_incidence_num",2020-04-24,NA,2020-10-14,173,88,NA,NA,"jhu-csse"
"42","ca","deaths_incidence_num",2020-04-25,NA,2020-10-14,172,68,NA,NA,"jhu-csse"
"43","ca","deaths_incidence_num",2020-04-26,NA,2020-10-14,171,36,NA,NA,"jhu-csse"
"44","ca","deaths_incidence_num",2020-04-27,NA,2020-10-14,170,54,NA,NA,"jhu-csse"
"45","ca","deaths_incidence_num",2020-04-28,NA,2020-10-14,169,85,NA,NA,"jhu-csse"
"46","ca","deaths_incidence_num",2020-04-29,NA,2020-10-14,168,82,NA,NA,"jhu-csse"
"47","ca","deaths_incidence_num",2020-04-30,NA,2020-10-14,167,85,NA,NA,"jhu-csse"
"48","ca","deaths_incidence_num",2020-05-01,NA,2020-10-14,166,95,NA,NA,"jhu-csse"
"49","ca","deaths_incidence_num",2020-05-02,NA,2020-10-14,165,54,NA,NA,"jhu-csse"
"50","ca","deaths_incidence_num",2020-05-03,NA,2020-10-14,164,36,NA,NA,"jhu-csse"
"51","ca","deaths_incidence_num",2020-05-04,NA,2020-10-14,163,62,NA,NA,"jhu-csse"
"52","ca","deaths_incidence_num",2020-05-05,NA,2020-10-14,162,103,NA,NA,"jhu-csse"
"53","ca","deaths_incidence_num",2020-05-06,NA,2020-10-14,161,83,NA,NA,"jhu-csse"
"54","ca","deaths_incidence_num",2020-05-07,NA,2020-10-14,160,71,NA,NA,"jhu-csse"
"55","ca","deaths_incidence_num",2020-05-08,NA,2020-10-14,159,78,NA,NA,"jhu-csse"
"56","ca","deaths_incidence_num",2020-05-09,NA,2020-10-14,158,74,NA,NA,"jhu-csse"
"57","ca","deaths_incidence_num",2020-05-10,NA,2020-10-14,157,29,NA,NA,"jhu-csse"
"58","ca","deaths_incidence_num",2020-05-11,NA,2020-10-14,156,63,NA,NA,"jhu-csse"
"59","ca","deaths_incidence_num",2020-05-12,NA,2020-10-14,155,100,NA,NA,"jhu-csse"
"60","ca","deaths_incidence_num",2020-05-13,NA,2020-10-14,154,78,NA,NA,"jhu-csse"
