"","fcast","h"
"1",0,1
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"6",0,1
"7",0,1
"8",0,1
"9",0,1
"10",0,1
"11",0,1
"12",1,1
"13",1,1
"14",0,1
"15",2,1
"16",5,1
"17",5,1
"18",7,1
"19",10,1
"20",9,1
"21",5,1
"22",5,1
"23",7,1
"24",0,2
"25",0,2
"26",0,2
"27",0,2
"28",0,2
"29",0,2
"30",0,2
"31",0,2
"32",0,2
"33",0,2
"34",0,2
"35",0,2
"36",2,2
"37",5,2
"38",6,2
"39",8,2
"40",11,2
"41",10,2
"42",7,2
"43",6,2
"44",6,2
"45",6,2
"46",6,2
"47",0,3
"48",0,3
"49",0,3
"50",0,3
"51",0,3
"52",0,3
"53",0,3
"54",0,3
"55",0,3
"56",0,3
"57",3,3
"58",6,3
"59",6,3
"60",9,3
"61",12,3
"62",10,3
"63",6,3
"64",6,3
"65",6,3
"66",6,3
"67",6,3
"68",6,3
"69",6,3
"70",0,4
"71",0,4
"72",0,4
"73",0,4
"74",0,4
"75",1,4
"76",0,4
"77",1,4
"78",1,4
"79",4,4
"80",3,4
"81",5,4
"82",8,4
"83",5,4
"84",3,4
"85",5,4
"86",8,4
"87",7,4
"88",4,4
"89",4,4
"90",8,4
"91",4,4
"92",10,4
