"","fcast","h","date"
"1",0,1,2020-05-11
"2",0,1,2020-05-18
"3",0,1,2020-05-25
"4",0,1,2020-06-01
"5",0,1,2020-06-08
"6",0,1,2020-06-15
"7",0,1,2020-06-22
"8",0,1,2020-06-29
"9",0,1,2020-07-06
"10",0,1,2020-07-13
"11",0,1,2020-07-20
"12",1,1,2020-07-27
"13",1,1,2020-08-03
"14",0,1,2020-08-10
"15",2,1,2020-08-17
"16",5,1,2020-08-24
"17",5,1,2020-08-31
"18",7,1,2020-09-07
"19",10,1,2020-09-14
"20",9,1,2020-09-21
"21",5,1,2020-09-28
"22",5,1,2020-10-05
"23",7,1,2020-10-12
"24",0,2,2020-05-11
"25",0,2,2020-05-18
"26",0,2,2020-05-25
"27",0,2,2020-06-01
"28",0,2,2020-06-08
"29",0,2,2020-06-15
"30",0,2,2020-06-22
"31",0,2,2020-06-29
"32",0,2,2020-07-06
"33",0,2,2020-07-13
"34",0,2,2020-07-20
"35",0,2,2020-07-27
"36",2,2,2020-08-03
"37",5,2,2020-08-10
"38",6,2,2020-08-17
"39",8,2,2020-08-24
"40",11,2,2020-08-31
"41",10,2,2020-09-07
"42",7,2,2020-09-14
"43",6,2,2020-09-21
"44",6,2,2020-09-28
"45",6,2,2020-10-05
"46",6,2,2020-10-12
"47",0,3,2020-05-11
"48",0,3,2020-05-18
"49",0,3,2020-05-25
"50",0,3,2020-06-01
"51",0,3,2020-06-08
"52",0,3,2020-06-15
"53",0,3,2020-06-22
"54",0,3,2020-06-29
"55",0,3,2020-07-06
"56",0,3,2020-07-13
"57",3,3,2020-07-20
"58",6,3,2020-07-27
"59",6,3,2020-08-03
"60",9,3,2020-08-10
"61",12,3,2020-08-17
"62",10,3,2020-08-24
"63",6,3,2020-08-31
"64",6,3,2020-09-07
"65",6,3,2020-09-14
"66",6,3,2020-09-21
"67",6,3,2020-09-28
"68",6,3,2020-10-05
"69",6,3,2020-10-12
"70",0,4,2020-05-11
"71",0,4,2020-05-18
"72",0,4,2020-05-25
"73",0,4,2020-06-01
"74",0,4,2020-06-08
"75",1,4,2020-06-15
"76",0,4,2020-06-22
"77",1,4,2020-06-29
"78",1,4,2020-07-06
"79",4,4,2020-07-13
"80",3,4,2020-07-20
"81",5,4,2020-07-27
"82",8,4,2020-08-03
"83",5,4,2020-08-10
"84",3,4,2020-08-17
"85",5,4,2020-08-24
"86",8,4,2020-08-31
"87",7,4,2020-09-07
"88",4,4,2020-09-14
"89",4,4,2020-09-21
"90",8,4,2020-09-28
"91",4,4,2020-10-05
"92",10,4,2020-10-12
