"","fcast","h","date"
"1",13,1,2020-05-11
"2",11,1,2020-05-18
"3",30,1,2020-05-25
"4",33,1,2020-06-01
"5",43,1,2020-06-08
"6",17,1,2020-06-15
"7",20,1,2020-06-22
"8",32,1,2020-06-29
"9",28,1,2020-07-06
"10",37,1,2020-07-13
"11",39,1,2020-07-20
"12",54,1,2020-07-27
"13",56,1,2020-08-03
"14",79,1,2020-08-10
"15",105,1,2020-08-17
"16",100,1,2020-08-24
"17",137,1,2020-08-31
"18",136,1,2020-09-07
"19",132,1,2020-09-14
"20",120,1,2020-09-21
"21",95,1,2020-09-28
"22",77,1,2020-10-05
"23",109,1,2020-10-12
"24",16,2,2020-05-11
"25",20,2,2020-05-18
"26",19,2,2020-05-25
"27",18,2,2020-06-01
"28",21,2,2020-06-08
"29",25,2,2020-06-15
"30",29,2,2020-06-22
"31",36,2,2020-06-29
"32",38,2,2020-07-06
"33",44,2,2020-07-13
"34",62,2,2020-07-20
"35",66,2,2020-07-27
"36",84,2,2020-08-03
"37",106,2,2020-08-10
"38",141,2,2020-08-17
"39",163,2,2020-08-24
"40",155,2,2020-08-31
"41",143,2,2020-09-07
"42",116,2,2020-09-14
"43",97,2,2020-09-21
"44",107,2,2020-09-28
"45",106,2,2020-10-05
"46",90,2,2020-10-12
"47",18,3,2020-05-11
"48",18,3,2020-05-18
"49",22,3,2020-05-25
"50",25,3,2020-06-01
"51",30,3,2020-06-08
"52",38,3,2020-06-15
"53",38,3,2020-06-22
"54",47,3,2020-06-29
"55",61,3,2020-07-06
"56",65,3,2020-07-13
"57",87,3,2020-07-20
"58",111,3,2020-07-27
"59",146,3,2020-08-03
"60",162,3,2020-08-10
"61",154,3,2020-08-17
"62",140,3,2020-08-24
"63",112,3,2020-08-31
"64",95,3,2020-09-07
"65",109,3,2020-09-14
"66",104,3,2020-09-21
"67",84,3,2020-09-28
"68",82,3,2020-10-05
"69",84,3,2020-10-12
"70",58,4,2020-05-11
"71",69,4,2020-05-18
"72",50,4,2020-05-25
"73",54,4,2020-06-01
"74",47,4,2020-06-08
"75",46,4,2020-06-15
"76",64,4,2020-06-22
"77",77,4,2020-06-29
"78",83,4,2020-07-06
"79",114,4,2020-07-13
"80",158,4,2020-07-20
"81",155,4,2020-07-27
"82",125,4,2020-08-03
"83",150,4,2020-08-10
"84",137,4,2020-08-17
"85",81,4,2020-08-24
"86",116,4,2020-08-31
"87",105,4,2020-09-07
"88",71,4,2020-09-14
"89",97,4,2020-09-21
"90",75,4,2020-09-28
"91",79,4,2020-10-05
"92",100,4,2020-10-12
