"","fcast","h","date"
"1",5,1,2020-05-11
"2",8,1,2020-05-18
"3",6,1,2020-05-25
"4",6,1,2020-06-01
"5",10,1,2020-06-08
"6",15,1,2020-06-15
"7",7,1,2020-06-22
"8",7,1,2020-06-29
"9",14,1,2020-07-06
"10",15,1,2020-07-13
"11",25,1,2020-07-20
"12",33,1,2020-07-27
"13",44,1,2020-08-03
"14",46,1,2020-08-10
"15",47,1,2020-08-17
"16",49,1,2020-08-24
"17",59,1,2020-08-31
"18",67,1,2020-09-07
"19",67,1,2020-09-14
"20",72,1,2020-09-21
"21",74,1,2020-09-28
"22",58,1,2020-10-05
"23",51,1,2020-10-12
"24",6,2,2020-05-11
"25",6,2,2020-05-18
"26",9,2,2020-05-25
"27",10,2,2020-06-01
"28",7,2,2020-06-08
"29",8,2,2020-06-15
"30",12,2,2020-06-22
"31",15,2,2020-06-29
"32",20,2,2020-07-06
"33",30,2,2020-07-13
"34",38,2,2020-07-20
"35",46,2,2020-07-27
"36",52,2,2020-08-03
"37",51,2,2020-08-10
"38",58,2,2020-08-17
"39",65,2,2020-08-24
"40",68,2,2020-08-31
"41",69,2,2020-09-07
"42",63,2,2020-09-14
"43",51,2,2020-09-21
"44",50,2,2020-09-28
"45",53,2,2020-10-05
"46",54,2,2020-10-12
"47",11,3,2020-05-11
"48",12,3,2020-05-18
"49",6,3,2020-05-25
"50",9,3,2020-06-01
"51",13,3,2020-06-08
"52",15,3,2020-06-15
"53",21,3,2020-06-22
"54",31,3,2020-06-29
"55",38,3,2020-07-06
"56",45,3,2020-07-13
"57",51,3,2020-07-20
"58",54,3,2020-07-27
"59",61,3,2020-08-03
"60",65,3,2020-08-10
"61",69,3,2020-08-17
"62",68,3,2020-08-24
"63",62,3,2020-08-31
"64",48,3,2020-09-07
"65",52,3,2020-09-14
"66",55,3,2020-09-21
"67",57,3,2020-09-28
"68",68,3,2020-10-05
"69",74,3,2020-10-12
"70",10,4,2020-05-11
"71",6,4,2020-05-18
"72",12,4,2020-05-25
"73",15,4,2020-06-01
"74",17,4,2020-06-08
"75",27,4,2020-06-15
"76",40,4,2020-06-22
"77",43,4,2020-06-29
"78",40,4,2020-07-06
"79",43,4,2020-07-13
"80",48,4,2020-07-20
"81",54,4,2020-07-27
"82",71,4,2020-08-03
"83",72,4,2020-08-10
"84",59,4,2020-08-17
"85",70,4,2020-08-24
"86",73,4,2020-08-31
"87",77,4,2020-09-07
"88",65,4,2020-09-14
"89",231,4,2020-09-21
"90",89,4,2020-09-28
"91",90,4,2020-10-05
"92",88,4,2020-10-12
