"","fcast","h","date"
"1",24,1,2020-05-11
"2",21,1,2020-05-18
"3",27,1,2020-05-25
"4",39,1,2020-06-01
"5",46,1,2020-06-08
"6",41,1,2020-06-15
"7",38,1,2020-06-22
"8",36,1,2020-06-29
"9",24,1,2020-07-06
"10",26,1,2020-07-13
"11",29,1,2020-07-20
"12",21,1,2020-07-27
"13",12,1,2020-08-03
"14",22,1,2020-08-10
"15",19,1,2020-08-17
"16",22,1,2020-08-24
"17",34,1,2020-08-31
"18",35,1,2020-09-07
"19",45,1,2020-09-14
"20",39,1,2020-09-21
"21",34,1,2020-09-28
"22",26,1,2020-10-05
"23",24,1,2020-10-12
"24",31,2,2020-05-11
"25",31,2,2020-05-18
"26",35,2,2020-05-25
"27",42,2,2020-06-01
"28",41,2,2020-06-08
"29",35,2,2020-06-15
"30",31,2,2020-06-22
"31",28,2,2020-06-29
"32",26,2,2020-07-06
"33",21,2,2020-07-13
"34",16,2,2020-07-20
"35",18,2,2020-07-27
"36",22,2,2020-08-03
"37",27,2,2020-08-10
"38",35,2,2020-08-17
"39",44,2,2020-08-24
"40",49,2,2020-08-31
"41",44,2,2020-09-07
"42",38,2,2020-09-14
"43",30,2,2020-09-21
"44",27,2,2020-09-28
"45",27,2,2020-10-05
"46",25,2,2020-10-12
"47",37,3,2020-05-11
"48",44,3,2020-05-18
"49",42,3,2020-05-25
"50",35,3,2020-06-01
"51",30,3,2020-06-08
"52",28,3,2020-06-15
"53",27,3,2020-06-22
"54",19,3,2020-06-29
"55",15,3,2020-07-06
"56",20,3,2020-07-13
"57",23,3,2020-07-20
"58",29,3,2020-07-27
"59",38,3,2020-08-03
"60",44,3,2020-08-10
"61",48,3,2020-08-17
"62",43,3,2020-08-24
"63",36,3,2020-08-31
"64",29,3,2020-09-07
"65",27,3,2020-09-14
"66",27,3,2020-09-21
"67",25,3,2020-09-28
"68",34,3,2020-10-05
"69",43,3,2020-10-12
"70",106,4,2020-05-11
"71",127,4,2020-05-18
"72",79,4,2020-05-25
"73",69,4,2020-06-01
"74",51,4,2020-06-08
"75",40,4,2020-06-15
"76",33,4,2020-06-22
"77",29,4,2020-06-29
"78",25,4,2020-07-06
"79",30,4,2020-07-13
"80",36,4,2020-07-20
"81",37,4,2020-07-27
"82",49,4,2020-08-03
"83",32,4,2020-08-10
"84",41,4,2020-08-17
"85",26,4,2020-08-24
"86",26,4,2020-08-31
"87",26,4,2020-09-07
"88",17,4,2020-09-14
"89",28,4,2020-09-21
"90",37,4,2020-09-28
"91",37,4,2020-10-05
"92",57,4,2020-10-12
