"","fcast","h","date"
"1",38,1,2020-05-11
"2",53,1,2020-05-18
"3",96,1,2020-05-25
"4",85,1,2020-06-01
"5",85,1,2020-06-08
"6",69,1,2020-06-15
"7",44,1,2020-06-22
"8",46,1,2020-06-29
"9",43,1,2020-07-06
"10",56,1,2020-07-13
"11",33,1,2020-07-20
"12",23,1,2020-07-27
"13",17,1,2020-08-03
"14",10,1,2020-08-10
"15",9,1,2020-08-17
"16",6,1,2020-08-24
"17",7,1,2020-08-31
"18",8,1,2020-09-07
"19",18,1,2020-09-14
"20",15,1,2020-09-21
"21",10,1,2020-09-28
"22",12,1,2020-10-05
"23",10,1,2020-10-12
"24",57,2,2020-05-11
"25",76,2,2020-05-18
"26",85,2,2020-05-25
"27",77,2,2020-06-01
"28",55,2,2020-06-08
"29",49,2,2020-06-15
"30",48,2,2020-06-22
"31",37,2,2020-06-29
"32",26,2,2020-07-06
"33",18,2,2020-07-13
"34",14,2,2020-07-20
"35",8,2,2020-07-27
"36",6,2,2020-08-03
"37",6,2,2020-08-10
"38",6,2,2020-08-17
"39",7,2,2020-08-24
"40",13,2,2020-08-31
"41",11,2,2020-09-07
"42",6,2,2020-09-14
"43",7,2,2020-09-21
"44",10,2,2020-09-28
"45",12,2,2020-10-05
"46",10,2,2020-10-12
"47",85,3,2020-05-11
"48",74,3,2020-05-18
"49",55,3,2020-05-25
"50",51,3,2020-06-01
"51",46,3,2020-06-08
"52",35,3,2020-06-15
"53",24,3,2020-06-22
"54",18,3,2020-06-29
"55",12,3,2020-07-06
"56",7,3,2020-07-13
"57",6,3,2020-07-20
"58",6,3,2020-07-27
"59",6,3,2020-08-03
"60",8,3,2020-08-10
"61",12,3,2020-08-17
"62",10,3,2020-08-24
"63",6,3,2020-08-31
"64",6,3,2020-09-07
"65",10,3,2020-09-14
"66",11,3,2020-09-21
"67",11,3,2020-09-28
"68",15,3,2020-10-05
"69",15,3,2020-10-12
"70",247,4,2020-05-11
"71",201,4,2020-05-18
"72",133,4,2020-05-25
"73",124,4,2020-06-01
"74",52,4,2020-06-08
"75",65,4,2020-06-15
"76",34,4,2020-06-22
"77",36,4,2020-06-29
"78",10,4,2020-07-06
"79",9,4,2020-07-13
"80",14,4,2020-07-20
"81",6,4,2020-07-27
"82",15,4,2020-08-03
"83",9,4,2020-08-10
"84",7,4,2020-08-17
"85",4,4,2020-08-24
"86",9,4,2020-08-31
"87",7,4,2020-09-07
"88",14,4,2020-09-14
"89",9,4,2020-09-21
"90",9,4,2020-09-28
"91",13,4,2020-10-05
"92",20,4,2020-10-12
