"","fcast","h"
"1",4,1
"2",7,1
"3",14,1
"4",11,1
"5",11,1
"6",16,1
"7",13,1
"8",14,1
"9",16,1
"10",11,1
"11",6,1
"12",8,1
"13",5,1
"14",5,1
"15",7,1
"16",15,1
"17",7,1
"18",8,1
"19",11,1
"20",13,1
"21",8,1
"22",7,1
"23",8,1
"24",8,2
"25",12,2
"26",14,2
"27",17,2
"28",15,2
"29",16,2
"30",15,2
"31",12,2
"32",8,2
"33",6,2
"34",6,2
"35",6,2
"36",8,2
"37",11,2
"38",9,2
"39",10,2
"40",11,2
"41",7,2
"42",7,2
"43",9,2
"44",7,2
"45",6,2
"46",9,2
"47",14,3
"48",17,3
"49",17,3
"50",17,3
"51",16,3
"52",12,3
"53",7,3
"54",6,3
"55",6,3
"56",6,3
"57",9,3
"58",11,3
"59",8,3
"60",10,3
"61",10,3
"62",7,3
"63",8,3
"64",8,3
"65",6,3
"66",7,3
"67",10,3
"68",11,3
"69",9,3
"70",25,4
"71",43,4
"72",24,4
"73",21,4
"74",19,4
"75",21,4
"76",8,4
"77",90,4
"78",6,4
"79",9,4
"80",8,4
"81",28,4
"82",9,4
"83",9,4
"84",4,4
"85",8,4
"86",2,4
"87",5,4
"88",5,4
"89",9,4
"90",7,4
"91",10,4
"92",11,4
