"","fcast","h","date"
"1",4,1,2020-05-11
"2",7,1,2020-05-18
"3",14,1,2020-05-25
"4",11,1,2020-06-01
"5",11,1,2020-06-08
"6",16,1,2020-06-15
"7",13,1,2020-06-22
"8",14,1,2020-06-29
"9",16,1,2020-07-06
"10",11,1,2020-07-13
"11",6,1,2020-07-20
"12",8,1,2020-07-27
"13",5,1,2020-08-03
"14",5,1,2020-08-10
"15",7,1,2020-08-17
"16",15,1,2020-08-24
"17",7,1,2020-08-31
"18",8,1,2020-09-07
"19",11,1,2020-09-14
"20",13,1,2020-09-21
"21",8,1,2020-09-28
"22",7,1,2020-10-05
"23",8,1,2020-10-12
"24",8,2,2020-05-11
"25",12,2,2020-05-18
"26",14,2,2020-05-25
"27",17,2,2020-06-01
"28",15,2,2020-06-08
"29",16,2,2020-06-15
"30",15,2,2020-06-22
"31",12,2,2020-06-29
"32",8,2,2020-07-06
"33",6,2,2020-07-13
"34",6,2,2020-07-20
"35",6,2,2020-07-27
"36",8,2,2020-08-03
"37",11,2,2020-08-10
"38",9,2,2020-08-17
"39",10,2,2020-08-24
"40",11,2,2020-08-31
"41",7,2,2020-09-07
"42",7,2,2020-09-14
"43",9,2,2020-09-21
"44",7,2,2020-09-28
"45",6,2,2020-10-05
"46",9,2,2020-10-12
"47",14,3,2020-05-11
"48",17,3,2020-05-18
"49",17,3,2020-05-25
"50",17,3,2020-06-01
"51",16,3,2020-06-08
"52",12,3,2020-06-15
"53",7,3,2020-06-22
"54",6,3,2020-06-29
"55",6,3,2020-07-06
"56",6,3,2020-07-13
"57",9,3,2020-07-20
"58",11,3,2020-07-27
"59",8,3,2020-08-03
"60",10,3,2020-08-10
"61",10,3,2020-08-17
"62",7,3,2020-08-24
"63",8,3,2020-08-31
"64",8,3,2020-09-07
"65",6,3,2020-09-14
"66",7,3,2020-09-21
"67",10,3,2020-09-28
"68",11,3,2020-10-05
"69",9,3,2020-10-12
"70",25,4,2020-05-11
"71",43,4,2020-05-18
"72",24,4,2020-05-25
"73",21,4,2020-06-01
"74",19,4,2020-06-08
"75",21,4,2020-06-15
"76",8,4,2020-06-22
"77",90,4,2020-06-29
"78",6,4,2020-07-06
"79",9,4,2020-07-13
"80",8,4,2020-07-20
"81",28,4,2020-07-27
"82",9,4,2020-08-03
"83",9,4,2020-08-10
"84",4,4,2020-08-17
"85",8,4,2020-08-24
"86",2,4,2020-08-31
"87",5,4,2020-09-07
"88",5,4,2020-09-14
"89",9,4,2020-09-21
"90",7,4,2020-09-28
"91",10,4,2020-10-05
"92",11,4,2020-10-12
