"","fcast","h"
"1",55,1
"2",71,1
"3",78,1
"4",101,1
"5",97,1
"6",100,1
"7",63,1
"8",66,1
"9",73,1
"10",83,1
"11",50,1
"12",64,1
"13",62,1
"14",117,1
"15",157,1
"16",211,1
"17",252,1
"18",270,1
"19",277,1
"20",255,1
"21",248,1
"22",234,1
"23",203,1
"24",59,2
"25",72,2
"26",72,2
"27",66,2
"28",61,2
"29",60,2
"30",60,2
"31",60,2
"32",58,2
"33",63,2
"34",75,2
"35",109,2
"36",177,2
"37",238,2
"38",288,2
"39",321,2
"40",325,2
"41",308,2
"42",295,2
"43",260,2
"44",215,2
"45",191,2
"46",170,2
"47",71,3
"48",67,3
"49",62,3
"50",59,3
"51",60,3
"52",59,3
"53",57,3
"54",65,3
"55",78,3
"56",118,3
"57",187,3
"58",249,3
"59",296,3
"60",323,3
"61",324,3
"62",309,3
"63",292,3
"64",250,3
"65",212,3
"66",190,3
"67",163,3
"68",151,3
"69",147,3
"70",136,4
"71",136,4
"72",108,4
"73",148,4
"74",65,4
"75",186,4
"76",116,4
"77",127,4
"78",120,4
"79",184,4
"80",215,4
"81",341,4
"82",329,4
"83",357,4
"84",420,4
"85",342,4
"86",365,4
"87",325,4
"88",211,4
"89",202,4
"90",257,4
"91",158,4
"92",131,4
