"","fcast","h","date"
"1",55,1,2020-05-11
"2",71,1,2020-05-18
"3",78,1,2020-05-25
"4",101,1,2020-06-01
"5",97,1,2020-06-08
"6",100,1,2020-06-15
"7",63,1,2020-06-22
"8",66,1,2020-06-29
"9",73,1,2020-07-06
"10",83,1,2020-07-13
"11",50,1,2020-07-20
"12",64,1,2020-07-27
"13",62,1,2020-08-03
"14",117,1,2020-08-10
"15",157,1,2020-08-17
"16",211,1,2020-08-24
"17",252,1,2020-08-31
"18",270,1,2020-09-07
"19",277,1,2020-09-14
"20",255,1,2020-09-21
"21",248,1,2020-09-28
"22",234,1,2020-10-05
"23",203,1,2020-10-12
"24",59,2,2020-05-11
"25",72,2,2020-05-18
"26",72,2,2020-05-25
"27",66,2,2020-06-01
"28",61,2,2020-06-08
"29",60,2,2020-06-15
"30",60,2,2020-06-22
"31",60,2,2020-06-29
"32",58,2,2020-07-06
"33",63,2,2020-07-13
"34",75,2,2020-07-20
"35",109,2,2020-07-27
"36",177,2,2020-08-03
"37",238,2,2020-08-10
"38",288,2,2020-08-17
"39",321,2,2020-08-24
"40",325,2,2020-08-31
"41",308,2,2020-09-07
"42",295,2,2020-09-14
"43",260,2,2020-09-21
"44",215,2,2020-09-28
"45",191,2,2020-10-05
"46",170,2,2020-10-12
"47",71,3,2020-05-11
"48",67,3,2020-05-18
"49",62,3,2020-05-25
"50",59,3,2020-06-01
"51",60,3,2020-06-08
"52",59,3,2020-06-15
"53",57,3,2020-06-22
"54",65,3,2020-06-29
"55",78,3,2020-07-06
"56",118,3,2020-07-13
"57",187,3,2020-07-20
"58",249,3,2020-07-27
"59",296,3,2020-08-03
"60",323,3,2020-08-10
"61",324,3,2020-08-17
"62",309,3,2020-08-24
"63",292,3,2020-08-31
"64",250,3,2020-09-07
"65",212,3,2020-09-14
"66",190,3,2020-09-21
"67",163,3,2020-09-28
"68",151,3,2020-10-05
"69",147,3,2020-10-12
"70",136,4,2020-05-11
"71",136,4,2020-05-18
"72",108,4,2020-05-25
"73",148,4,2020-06-01
"74",65,4,2020-06-08
"75",186,4,2020-06-15
"76",116,4,2020-06-22
"77",127,4,2020-06-29
"78",120,4,2020-07-06
"79",184,4,2020-07-13
"80",215,4,2020-07-20
"81",341,4,2020-07-27
"82",329,4,2020-08-03
"83",357,4,2020-08-10
"84",420,4,2020-08-17
"85",342,4,2020-08-24
"86",365,4,2020-08-31
"87",325,4,2020-09-07
"88",211,4,2020-09-14
"89",202,4,2020-09-21
"90",257,4,2020-09-28
"91",158,4,2020-10-05
"92",131,4,2020-10-12
