"","fcast","h","date"
"1",0,1,2020-05-11
"2",0,1,2020-05-18
"3",1,1,2020-05-25
"4",0,1,2020-06-01
"5",0,1,2020-06-08
"6",0,1,2020-06-15
"7",0,1,2020-06-22
"8",0,1,2020-06-29
"9",0,1,2020-07-06
"10",3,1,2020-07-13
"11",0,1,2020-07-20
"12",0,1,2020-07-27
"13",1,1,2020-08-03
"14",4,1,2020-08-10
"15",1,1,2020-08-17
"16",3,1,2020-08-24
"17",8,1,2020-08-31
"18",1,1,2020-09-07
"19",4,1,2020-09-14
"20",9,1,2020-09-21
"21",15,1,2020-09-28
"22",15,1,2020-10-05
"23",21,1,2020-10-12
"24",0,2,2020-05-11
"25",0,2,2020-05-18
"26",0,2,2020-05-25
"27",0,2,2020-06-01
"28",0,2,2020-06-08
"29",0,2,2020-06-15
"30",0,2,2020-06-22
"31",0,2,2020-06-29
"32",0,2,2020-07-06
"33",0,2,2020-07-13
"34",0,2,2020-07-20
"35",0,2,2020-07-27
"36",0,2,2020-08-03
"37",0,2,2020-08-10
"38",0,2,2020-08-17
"39",1,2,2020-08-24
"40",4,2,2020-08-31
"41",10,2,2020-09-07
"42",16,2,2020-09-14
"43",19,2,2020-09-21
"44",21,2,2020-09-28
"45",22,2,2020-10-05
"46",18,2,2020-10-12
"47",0,3,2020-05-11
"48",0,3,2020-05-18
"49",0,3,2020-05-25
"50",0,3,2020-06-01
"51",0,3,2020-06-08
"52",0,3,2020-06-15
"53",0,3,2020-06-22
"54",0,3,2020-06-29
"55",0,3,2020-07-06
"56",0,3,2020-07-13
"57",0,3,2020-07-20
"58",0,3,2020-07-27
"59",0,3,2020-08-03
"60",1,3,2020-08-10
"61",6,3,2020-08-17
"62",11,3,2020-08-24
"63",17,3,2020-08-31
"64",20,3,2020-09-07
"65",22,3,2020-09-14
"66",21,3,2020-09-21
"67",15,3,2020-09-28
"68",12,3,2020-10-05
"69",11,3,2020-10-12
"70",0,4,2020-05-11
"71",0,4,2020-05-18
"72",0,4,2020-05-25
"73",0,4,2020-06-01
"74",0,4,2020-06-08
"75",0,4,2020-06-15
"76",0,4,2020-06-22
"77",0,4,2020-06-29
"78",0,4,2020-07-06
"79",1,4,2020-07-13
"80",1,4,2020-07-20
"81",1,4,2020-07-27
"82",1,4,2020-08-03
"83",6,4,2020-08-10
"84",8,4,2020-08-17
"85",13,4,2020-08-24
"86",16,4,2020-08-31
"87",20,4,2020-09-07
"88",14,4,2020-09-14
"89",14,4,2020-09-21
"90",10,4,2020-09-28
"91",17,4,2020-10-05
"92",13,4,2020-10-12
