"","fcast","h","date"
"1",4,1,2020-05-11
"2",6,1,2020-05-18
"3",6,1,2020-05-25
"4",30,1,2020-06-01
"5",28,1,2020-06-08
"6",36,1,2020-06-15
"7",37,1,2020-06-22
"8",38,1,2020-06-29
"9",31,1,2020-07-06
"10",30,1,2020-07-13
"11",30,1,2020-07-20
"12",33,1,2020-07-27
"13",29,1,2020-08-03
"14",23,1,2020-08-10
"15",41,1,2020-08-17
"16",43,1,2020-08-24
"17",50,1,2020-08-31
"18",40,1,2020-09-07
"19",42,1,2020-09-14
"20",56,1,2020-09-21
"21",43,1,2020-09-28
"22",49,1,2020-10-05
"23",53,1,2020-10-12
"24",7,2,2020-05-11
"25",10,2,2020-05-18
"26",20,2,2020-05-25
"27",36,2,2020-06-01
"28",44,2,2020-06-08
"29",39,2,2020-06-15
"30",34,2,2020-06-22
"31",31,2,2020-06-29
"32",28,2,2020-07-06
"33",29,2,2020-07-13
"34",27,2,2020-07-20
"35",29,2,2020-07-27
"36",35,2,2020-08-03
"37",41,2,2020-08-10
"38",46,2,2020-08-17
"39",46,2,2020-08-24
"40",45,2,2020-08-31
"41",43,2,2020-09-07
"42",43,2,2020-09-14
"43",45,2,2020-09-21
"44",69,2,2020-09-28
"45",86,2,2020-10-05
"46",76,2,2020-10-12
"47",22,3,2020-05-11
"48",37,3,2020-05-18
"49",43,3,2020-05-25
"50",38,3,2020-06-01
"51",33,3,2020-06-08
"52",32,3,2020-06-15
"53",29,3,2020-06-22
"54",29,3,2020-06-29
"55",27,3,2020-07-06
"56",29,3,2020-07-13
"57",35,3,2020-07-20
"58",41,3,2020-07-27
"59",47,3,2020-08-03
"60",45,3,2020-08-10
"61",45,3,2020-08-17
"62",43,3,2020-08-24
"63",42,3,2020-08-31
"64",48,3,2020-09-07
"65",75,3,2020-09-14
"66",88,3,2020-09-21
"67",69,3,2020-09-28
"68",65,3,2020-10-05
"69",71,3,2020-10-12
"70",67,4,2020-05-11
"71",63,4,2020-05-18
"72",64,4,2020-05-25
"73",63,4,2020-06-01
"74",39,4,2020-06-08
"75",35,4,2020-06-15
"76",29,4,2020-06-22
"77",22,4,2020-06-29
"78",24,4,2020-07-06
"79",37,4,2020-07-13
"80",38,4,2020-07-20
"81",39,4,2020-07-27
"82",39,4,2020-08-03
"83",42,4,2020-08-10
"84",46,4,2020-08-17
"85",53,4,2020-08-24
"86",59,4,2020-08-31
"87",71,4,2020-09-07
"88",66,4,2020-09-14
"89",55,4,2020-09-21
"90",55,4,2020-09-28
"91",76,4,2020-10-05
"92",84,4,2020-10-12
