"","fcast","h"
"1",52,1
"2",95,1
"3",92,1
"4",108,1
"5",114,1
"6",167,1
"7",198,1
"8",187,1
"9",178,1
"10",151,1
"11",107,1
"12",95,1
"13",59,1
"14",48,1
"15",72,1
"16",76,1
"17",91,1
"18",95,1
"19",110,1
"20",120,1
"21",139,1
"22",147,1
"23",191,1
"24",94,2
"25",119,2
"26",137,2
"27",182,2
"28",218,2
"29",218,2
"30",205,2
"31",179,2
"32",133,2
"33",90,2
"34",61,2
"35",57,2
"36",64,2
"37",80,2
"38",94,2
"39",107,2
"40",125,2
"41",141,2
"42",152,2
"43",164,2
"44",174,2
"45",182,2
"46",191,2
"47",142,3
"48",190,3
"49",219,3
"50",217,3
"51",204,3
"52",172,3
"53",122,3
"54",85,3
"55",60,3
"56",58,3
"57",67,3
"58",82,3
"59",97,3
"60",110,3
"61",128,3
"62",144,3
"63",155,3
"64",165,3
"65",177,3
"66",189,3
"67",186,3
"68",165,3
"69",164,3
"70",531,4
"71",483,4
"72",456,4
"73",308,4
"74",333,4
"75",258,4
"76",210,4
"77",136,4
"78",89,4
"79",374,4
"80",103,4
"81",104,4
"82",123,4
"83",126,4
"84",129,4
"85",142,4
"86",156,4
"87",175,4
"88",159,4
"89",142,4
"90",162,4
"91",175,4
"92",183,4
