"","fcast","h"
"1",29,1
"2",25,1
"3",36,1
"4",45,1
"5",42,1
"6",53,1
"7",62,1
"8",45,1
"9",45,1
"10",38,1
"11",34,1
"12",30,1
"13",34,1
"14",28,1
"15",28,1
"16",40,1
"17",45,1
"18",57,1
"19",61,1
"20",65,1
"21",79,1
"22",69,1
"23",78,1
"24",36,2
"25",41,2
"26",43,2
"27",53,2
"28",60,2
"29",52,2
"30",47,2
"31",44,2
"32",39,2
"33",36,2
"34",34,2
"35",33,2
"36",34,2
"37",39,2
"38",49,2
"39",66,2
"40",72,2
"41",73,2
"42",79,2
"43",77,2
"44",82,2
"45",87,2
"46",78,2
"47",44,3
"48",54,3
"49",60,3
"50",52,3
"51",47,3
"52",45,3
"53",38,3
"54",35,3
"55",32,3
"56",32,3
"57",34,3
"58",41,3
"59",53,3
"60",67,3
"61",73,3
"62",75,3
"63",81,3
"64",77,3
"65",83,3
"66",88,3
"67",78,3
"68",76,3
"69",77,3
"70",175,4
"71",141,4
"72",146,4
"73",92,4
"74",127,4
"75",76,4
"76",69,4
"77",56,4
"78",54,4
"79",58,4
"80",56,4
"81",77,4
"82",76,4
"83",70,4
"84",91,4
"85",94,4
"86",73,4
"87",83,4
"88",76,4
"89",79,4
"90",67,4
"91",85,4
"92",114,4
