"","fcast","h","date"
"1",6,1,2020-05-11
"2",7,1,2020-05-18
"3",8,1,2020-05-25
"4",8,1,2020-06-01
"5",12,1,2020-06-08
"6",16,1,2020-06-15
"7",21,1,2020-06-22
"8",23,1,2020-06-29
"9",14,1,2020-07-06
"10",13,1,2020-07-13
"11",15,1,2020-07-20
"12",13,1,2020-07-27
"13",18,1,2020-08-03
"14",23,1,2020-08-10
"15",24,1,2020-08-17
"16",32,1,2020-08-24
"17",35,1,2020-08-31
"18",42,1,2020-09-07
"19",50,1,2020-09-14
"20",38,1,2020-09-21
"21",45,1,2020-09-28
"22",48,1,2020-10-05
"23",63,1,2020-10-12
"24",6,2,2020-05-11
"25",6,2,2020-05-18
"26",10,2,2020-05-25
"27",18,2,2020-06-01
"28",23,2,2020-06-08
"29",21,2,2020-06-15
"30",14,2,2020-06-22
"31",11,2,2020-06-29
"32",11,2,2020-07-06
"33",9,2,2020-07-13
"34",10,2,2020-07-20
"35",15,2,2020-07-27
"36",22,2,2020-08-03
"37",31,2,2020-08-10
"38",36,2,2020-08-17
"39",39,2,2020-08-24
"40",39,2,2020-08-31
"41",36,2,2020-09-07
"42",37,2,2020-09-14
"43",41,2,2020-09-21
"44",50,2,2020-09-28
"45",53,2,2020-10-05
"46",48,2,2020-10-12
"47",11,3,2020-05-11
"48",19,3,2020-05-18
"49",23,3,2020-05-25
"50",20,3,2020-06-01
"51",14,3,2020-06-08
"52",12,3,2020-06-15
"53",10,3,2020-06-22
"54",8,3,2020-06-29
"55",11,3,2020-07-06
"56",16,3,2020-07-13
"57",25,3,2020-07-20
"58",31,3,2020-07-27
"59",37,3,2020-08-03
"60",41,3,2020-08-10
"61",39,3,2020-08-17
"62",36,3,2020-08-24
"63",39,3,2020-08-31
"64",45,3,2020-09-07
"65",51,3,2020-09-14
"66",53,3,2020-09-21
"67",45,3,2020-09-28
"68",48,3,2020-10-05
"69",62,3,2020-10-12
"70",23,4,2020-05-11
"71",19,4,2020-05-18
"72",9,4,2020-05-25
"73",11,4,2020-06-01
"74",16,4,2020-06-08
"75",9,4,2020-06-15
"76",7,4,2020-06-22
"77",12,4,2020-06-29
"78",13,4,2020-07-06
"79",22,4,2020-07-13
"80",23,4,2020-07-20
"81",28,4,2020-07-27
"82",33,4,2020-08-03
"83",22,4,2020-08-10
"84",29,4,2020-08-17
"85",30,4,2020-08-24
"86",31,4,2020-08-31
"87",39,4,2020-09-07
"88",43,4,2020-09-14
"89",53,4,2020-09-21
"90",52,4,2020-09-28
"91",56,4,2020-10-05
"92",42,4,2020-10-12
