"","fcast","h","date"
"1",129,1,2020-05-11
"2",110,1,2020-05-18
"3",133,1,2020-05-25
"4",337,1,2020-06-01
"5",197,1,2020-06-08
"6",169,1,2020-06-15
"7",140,1,2020-06-22
"8",134,1,2020-06-29
"9",96,1,2020-07-06
"10",62,1,2020-07-13
"11",36,1,2020-07-20
"12",30,1,2020-07-27
"13",25,1,2020-08-03
"14",20,1,2020-08-10
"15",16,1,2020-08-17
"16",42,1,2020-08-24
"17",27,1,2020-08-31
"18",25,1,2020-09-07
"19",27,1,2020-09-14
"20",24,1,2020-09-21
"21",31,1,2020-09-28
"22",43,1,2020-10-05
"23",44,1,2020-10-12
"24",123,2,2020-05-11
"25",170,2,2020-05-18
"26",193,2,2020-05-25
"27",180,2,2020-06-01
"28",151,2,2020-06-08
"29",116,2,2020-06-15
"30",92,2,2020-06-22
"31",66,2,2020-06-29
"32",43,2,2020-07-06
"33",29,2,2020-07-13
"34",21,2,2020-07-20
"35",17,2,2020-07-27
"36",17,2,2020-08-03
"37",17,2,2020-08-10
"38",19,2,2020-08-17
"39",21,2,2020-08-24
"40",25,2,2020-08-31
"41",27,2,2020-09-07
"42",27,2,2020-09-14
"43",27,2,2020-09-21
"44",28,2,2020-09-28
"45",28,2,2020-10-05
"46",27,2,2020-10-12
"47",195,3,2020-05-11
"48",178,3,2020-05-18
"49",146,3,2020-05-25
"50",114,3,2020-06-01
"51",90,3,2020-06-08
"52",63,3,2020-06-15
"53",41,3,2020-06-22
"54",28,3,2020-06-29
"55",20,3,2020-07-06
"56",18,3,2020-07-13
"57",17,3,2020-07-20
"58",17,3,2020-07-27
"59",19,3,2020-08-03
"60",21,3,2020-08-10
"61",24,3,2020-08-17
"62",26,3,2020-08-24
"63",26,3,2020-08-31
"64",26,3,2020-09-07
"65",28,3,2020-09-14
"66",28,3,2020-09-21
"67",26,3,2020-09-28
"68",31,3,2020-10-05
"69",33,3,2020-10-12
"70",524,4,2020-05-11
"71",346,4,2020-05-18
"72",304,4,2020-05-25
"73",257,4,2020-06-01
"74",173,4,2020-06-08
"75",166,4,2020-06-15
"76",104,4,2020-06-22
"77",96,4,2020-06-29
"78",48,4,2020-07-06
"79",68,4,2020-07-13
"80",57,4,2020-07-20
"81",62,4,2020-07-27
"82",66,4,2020-08-03
"83",52,4,2020-08-10
"84",57,4,2020-08-17
"85",50,4,2020-08-24
"86",60,4,2020-08-31
"87",43,4,2020-09-07
"88",49,4,2020-09-14
"89",56,4,2020-09-21
"90",59,4,2020-09-28
"91",61,4,2020-10-05
"92",51,4,2020-10-12
