"","fcast","h"
"1",1,1
"2",1,1
"3",1,1
"4",2,1
"5",2,1
"6",1,1
"7",1,1
"8",3,1
"9",4,1
"10",5,1
"11",4,1
"12",1,1
"13",2,1
"14",0,1
"15",3,1
"16",1,1
"17",0,1
"18",0,1
"19",0,1
"20",1,1
"21",0,1
"22",0,1
"23",0,1
"24",1,2
"25",1,2
"26",1,2
"27",0,2
"28",1,2
"29",3,2
"30",4,2
"31",6,2
"32",6,2
"33",4,2
"34",2,2
"35",1,2
"36",4,2
"37",3,2
"38",0,2
"39",0,2
"40",0,2
"41",0,2
"42",0,2
"43",0,2
"44",0,2
"45",0,2
"46",0,2
"47",2,3
"48",0,3
"49",2,3
"50",3,3
"51",5,3
"52",6,3
"53",6,3
"54",4,3
"55",1,3
"56",1,3
"57",3,3
"58",2,3
"59",0,3
"60",0,3
"61",0,3
"62",0,3
"63",0,3
"64",0,3
"65",0,3
"66",0,3
"67",0,3
"68",0,3
"69",2,3
"70",7,4
"71",2,4
"72",7,4
"73",7,4
"74",11,4
"75",3,4
"76",0,4
"77",1,4
"78",3,4
"79",5,4
"80",2,4
"81",1,4
"82",4,4
"83",0,4
"84",1,4
"85",2,4
"86",0,4
"87",1,4
"88",1,4
"89",2,4
"90",0,4
"91",3,4
"92",2,4
