"","fcast","h","date"
"1",1,1,2020-05-11
"2",1,1,2020-05-18
"3",1,1,2020-05-25
"4",2,1,2020-06-01
"5",2,1,2020-06-08
"6",1,1,2020-06-15
"7",1,1,2020-06-22
"8",3,1,2020-06-29
"9",4,1,2020-07-06
"10",5,1,2020-07-13
"11",4,1,2020-07-20
"12",1,1,2020-07-27
"13",2,1,2020-08-03
"14",0,1,2020-08-10
"15",3,1,2020-08-17
"16",1,1,2020-08-24
"17",0,1,2020-08-31
"18",0,1,2020-09-07
"19",0,1,2020-09-14
"20",1,1,2020-09-21
"21",0,1,2020-09-28
"22",0,1,2020-10-05
"23",0,1,2020-10-12
"24",1,2,2020-05-11
"25",1,2,2020-05-18
"26",1,2,2020-05-25
"27",0,2,2020-06-01
"28",1,2,2020-06-08
"29",3,2,2020-06-15
"30",4,2,2020-06-22
"31",6,2,2020-06-29
"32",6,2,2020-07-06
"33",4,2,2020-07-13
"34",2,2,2020-07-20
"35",1,2,2020-07-27
"36",4,2,2020-08-03
"37",3,2,2020-08-10
"38",0,2,2020-08-17
"39",0,2,2020-08-24
"40",0,2,2020-08-31
"41",0,2,2020-09-07
"42",0,2,2020-09-14
"43",0,2,2020-09-21
"44",0,2,2020-09-28
"45",0,2,2020-10-05
"46",0,2,2020-10-12
"47",2,3,2020-05-11
"48",0,3,2020-05-18
"49",2,3,2020-05-25
"50",3,3,2020-06-01
"51",5,3,2020-06-08
"52",6,3,2020-06-15
"53",6,3,2020-06-22
"54",4,3,2020-06-29
"55",1,3,2020-07-06
"56",1,3,2020-07-13
"57",3,3,2020-07-20
"58",2,3,2020-07-27
"59",0,3,2020-08-03
"60",0,3,2020-08-10
"61",0,3,2020-08-17
"62",0,3,2020-08-24
"63",0,3,2020-08-31
"64",0,3,2020-09-07
"65",0,3,2020-09-14
"66",0,3,2020-09-21
"67",0,3,2020-09-28
"68",0,3,2020-10-05
"69",2,3,2020-10-12
"70",7,4,2020-05-11
"71",2,4,2020-05-18
"72",7,4,2020-05-25
"73",7,4,2020-06-01
"74",11,4,2020-06-08
"75",3,4,2020-06-15
"76",0,4,2020-06-22
"77",1,4,2020-06-29
"78",3,4,2020-07-06
"79",5,4,2020-07-13
"80",2,4,2020-07-20
"81",1,4,2020-07-27
"82",4,4,2020-08-03
"83",0,4,2020-08-10
"84",1,4,2020-08-17
"85",2,4,2020-08-24
"86",0,4,2020-08-31
"87",1,4,2020-09-07
"88",1,4,2020-09-14
"89",2,4,2020-09-21
"90",0,4,2020-09-28
"91",3,4,2020-10-05
"92",2,4,2020-10-12
