"","fcast","h","date"
"1",11,1,2020-05-11
"2",11,1,2020-05-18
"3",18,1,2020-05-25
"4",10,1,2020-06-01
"5",16,1,2020-06-08
"6",22,1,2020-06-15
"7",40,1,2020-06-22
"8",57,1,2020-06-29
"9",52,1,2020-07-06
"10",54,1,2020-07-13
"11",46,1,2020-07-20
"12",34,1,2020-07-27
"13",29,1,2020-08-03
"14",28,1,2020-08-10
"15",36,1,2020-08-17
"16",36,1,2020-08-24
"17",44,1,2020-08-31
"18",47,1,2020-09-07
"19",55,1,2020-09-14
"20",55,1,2020-09-21
"21",57,1,2020-09-28
"22",47,1,2020-10-05
"23",64,1,2020-10-12
"24",6,2,2020-05-11
"25",7,2,2020-05-18
"26",11,2,2020-05-25
"27",23,2,2020-06-01
"28",43,2,2020-06-08
"29",54,2,2020-06-15
"30",57,2,2020-06-22
"31",60,2,2020-06-29
"32",52,2,2020-07-06
"33",40,2,2020-07-13
"34",33,2,2020-07-20
"35",31,2,2020-07-27
"36",35,2,2020-08-03
"37",39,2,2020-08-10
"38",49,2,2020-08-17
"39",54,2,2020-08-24
"40",60,2,2020-08-31
"41",63,2,2020-09-07
"42",59,2,2020-09-14
"43",56,2,2020-09-21
"44",60,2,2020-09-28
"45",69,2,2020-10-05
"46",67,2,2020-10-12
"47",11,3,2020-05-11
"48",25,3,2020-05-18
"49",46,3,2020-05-25
"50",57,3,2020-06-01
"51",59,3,2020-06-08
"52",60,3,2020-06-15
"53",47,3,2020-06-22
"54",39,3,2020-06-29
"55",34,3,2020-07-06
"56",32,3,2020-07-13
"57",34,3,2020-07-20
"58",41,3,2020-07-27
"59",50,3,2020-08-03
"60",56,3,2020-08-10
"61",63,3,2020-08-17
"62",62,3,2020-08-24
"63",60,3,2020-08-31
"64",56,3,2020-09-07
"65",62,3,2020-09-14
"66",70,3,2020-09-21
"67",61,3,2020-09-28
"68",56,3,2020-10-05
"69",68,3,2020-10-12
"70",102,4,2020-05-11
"71",97,4,2020-05-18
"72",91,4,2020-05-25
"73",104,4,2020-06-01
"74",95,4,2020-06-08
"75",80,4,2020-06-15
"76",52,4,2020-06-22
"77",39,4,2020-06-29
"78",33,4,2020-07-06
"79",31,4,2020-07-13
"80",43,4,2020-07-20
"81",37,4,2020-07-27
"82",47,4,2020-08-03
"83",49,4,2020-08-10
"84",51,4,2020-08-17
"85",55,4,2020-08-24
"86",50,4,2020-08-31
"87",53,4,2020-09-07
"88",56,4,2020-09-14
"89",45,4,2020-09-21
"90",59,4,2020-09-28
"91",70,4,2020-10-05
"92",78,4,2020-10-12
