"","fcast","h"
"1",0,1
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"6",0,1
"7",1,1
"8",0,1
"9",0,1
"10",4,1
"11",3,1
"12",1,1
"13",3,1
"14",0,1
"15",2,1
"16",6,1
"17",6,1
"18",10,1
"19",12,1
"20",11,1
"21",11,1
"22",11,1
"23",11,1
"24",0,2
"25",0,2
"26",0,2
"27",0,2
"28",0,2
"29",0,2
"30",0,2
"31",0,2
"32",0,2
"33",0,2
"34",0,2
"35",0,2
"36",2,2
"37",5,2
"38",8,2
"39",10,2
"40",10,2
"41",12,2
"42",12,2
"43",11,2
"44",10,2
"45",12,2
"46",11,2
"47",0,3
"48",0,3
"49",0,3
"50",0,3
"51",0,3
"52",0,3
"53",0,3
"54",0,3
"55",0,3
"56",0,3
"57",3,3
"58",6,3
"59",8,3
"60",11,3
"61",11,3
"62",12,3
"63",11,3
"64",10,3
"65",10,3
"66",12,3
"67",12,3
"68",12,3
"69",15,3
"70",0,4
"71",0,4
"72",0,4
"73",1,4
"74",0,4
"75",0,4
"76",0,4
"77",0,4
"78",0,4
"79",5,4
"80",7,4
"81",8,4
"82",13,4
"83",10,4
"84",9,4
"85",9,4
"86",14,4
"87",11,4
"88",13,4
"89",15,4
"90",16,4
"91",19,4
"92",25,4
