"","fcast","h","date"
"1",12,1,2020-05-11
"2",19,1,2020-05-18
"3",26,1,2020-05-25
"4",33,1,2020-06-01
"5",31,1,2020-06-08
"6",39,1,2020-06-15
"7",65,1,2020-06-22
"8",44,1,2020-06-29
"9",57,1,2020-07-06
"10",61,1,2020-07-13
"11",90,1,2020-07-20
"12",106,1,2020-07-27
"13",154,1,2020-08-03
"14",103,1,2020-08-10
"15",110,1,2020-08-17
"16",125,1,2020-08-24
"17",150,1,2020-08-31
"18",148,1,2020-09-07
"19",156,1,2020-09-14
"20",132,1,2020-09-21
"21",117,1,2020-09-28
"22",114,1,2020-10-05
"23",139,1,2020-10-12
"24",21,2,2020-05-11
"25",24,2,2020-05-18
"26",29,2,2020-05-25
"27",34,2,2020-06-01
"28",37,2,2020-06-08
"29",42,2,2020-06-15
"30",52,2,2020-06-22
"31",61,2,2020-06-29
"32",76,2,2020-07-06
"33",95,2,2020-07-13
"34",110,2,2020-07-20
"35",116,2,2020-07-27
"36",133,2,2020-08-03
"37",149,2,2020-08-10
"38",168,2,2020-08-17
"39",178,2,2020-08-24
"40",174,2,2020-08-31
"41",157,2,2020-09-07
"42",136,2,2020-09-14
"43",130,2,2020-09-21
"44",143,2,2020-09-28
"45",142,2,2020-10-05
"46",126,2,2020-10-12
"47",29,3,2020-05-11
"48",35,3,2020-05-18
"49",39,3,2020-05-25
"50",44,3,2020-06-01
"51",54,3,2020-06-08
"52",63,3,2020-06-15
"53",80,3,2020-06-22
"54",100,3,2020-06-29
"55",111,3,2020-07-06
"56",119,3,2020-07-13
"57",135,3,2020-07-20
"58",152,3,2020-07-27
"59",171,3,2020-08-03
"60",177,3,2020-08-10
"61",173,3,2020-08-17
"62",154,3,2020-08-24
"63",134,3,2020-08-31
"64",132,3,2020-09-07
"65",144,3,2020-09-14
"66",141,3,2020-09-21
"67",120,3,2020-09-28
"68",115,3,2020-10-05
"69",116,3,2020-10-12
"70",90,4,2020-05-11
"71",82,4,2020-05-18
"72",59,4,2020-05-25
"73",92,4,2020-06-01
"74",78,4,2020-06-08
"75",101,4,2020-06-15
"76",121,4,2020-06-22
"77",97,4,2020-06-29
"78",105,4,2020-07-06
"79",116,4,2020-07-13
"80",163,4,2020-07-20
"81",160,4,2020-07-27
"82",163,4,2020-08-03
"83",146,4,2020-08-10
"84",156,4,2020-08-17
"85",168,4,2020-08-24
"86",158,4,2020-08-31
"87",176,4,2020-09-07
"88",128,4,2020-09-14
"89",163,4,2020-09-21
"90",162,4,2020-09-28
"91",165,4,2020-10-05
"92",135,4,2020-10-12
