"","fcast","h"
"1",1,1
"2",1,1
"3",1,1
"4",0,1
"5",3,1
"6",4,1
"7",5,1
"8",5,1
"9",5,1
"10",4,1
"11",2,1
"12",5,1
"13",1,1
"14",1,1
"15",4,1
"16",6,1
"17",6,1
"18",8,1
"19",13,1
"20",11,1
"21",12,1
"22",14,1
"23",41,1
"24",0,2
"25",0,2
"26",4,2
"27",6,2
"28",6,2
"29",6,2
"30",6,2
"31",5,2
"32",2,2
"33",4,2
"34",3,2
"35",0,2
"36",3,2
"37",6,2
"38",6,2
"39",9,2
"40",12,2
"41",12,2
"42",12,2
"43",13,2
"44",17,2
"45",22,2
"46",23,2
"47",4,3
"48",6,3
"49",6,3
"50",6,3
"51",6,3
"52",4,3
"53",3,3
"54",5,3
"55",3,3
"56",0,3
"57",4,3
"58",6,3
"59",7,3
"60",10,3
"61",12,3
"62",12,3
"63",12,3
"64",14,3
"65",19,3
"66",24,3
"67",25,3
"68",29,3
"69",32,3
"70",6,4
"71",8,4
"72",7,4
"73",6,4
"74",9,4
"75",1,4
"76",2,4
"77",2,4
"78",0,4
"79",8,4
"80",6,4
"81",5,4
"82",9,4
"83",9,4
"84",14,4
"85",12,4
"86",11,4
"87",16,4
"88",17,4
"89",22,4
"90",32,4
"91",36,4
"92",31,4
