"","fcast","h","date"
"1",1,1,2020-05-11
"2",1,1,2020-05-18
"3",1,1,2020-05-25
"4",0,1,2020-06-01
"5",3,1,2020-06-08
"6",4,1,2020-06-15
"7",5,1,2020-06-22
"8",5,1,2020-06-29
"9",5,1,2020-07-06
"10",4,1,2020-07-13
"11",2,1,2020-07-20
"12",5,1,2020-07-27
"13",1,1,2020-08-03
"14",1,1,2020-08-10
"15",4,1,2020-08-17
"16",6,1,2020-08-24
"17",6,1,2020-08-31
"18",8,1,2020-09-07
"19",13,1,2020-09-14
"20",11,1,2020-09-21
"21",12,1,2020-09-28
"22",14,1,2020-10-05
"23",41,1,2020-10-12
"24",0,2,2020-05-11
"25",0,2,2020-05-18
"26",4,2,2020-05-25
"27",6,2,2020-06-01
"28",6,2,2020-06-08
"29",6,2,2020-06-15
"30",6,2,2020-06-22
"31",5,2,2020-06-29
"32",2,2,2020-07-06
"33",4,2,2020-07-13
"34",3,2,2020-07-20
"35",0,2,2020-07-27
"36",3,2,2020-08-03
"37",6,2,2020-08-10
"38",6,2,2020-08-17
"39",9,2,2020-08-24
"40",12,2,2020-08-31
"41",12,2,2020-09-07
"42",12,2,2020-09-14
"43",13,2,2020-09-21
"44",17,2,2020-09-28
"45",22,2,2020-10-05
"46",23,2,2020-10-12
"47",4,3,2020-05-11
"48",6,3,2020-05-18
"49",6,3,2020-05-25
"50",6,3,2020-06-01
"51",6,3,2020-06-08
"52",4,3,2020-06-15
"53",3,3,2020-06-22
"54",5,3,2020-06-29
"55",3,3,2020-07-06
"56",0,3,2020-07-13
"57",4,3,2020-07-20
"58",6,3,2020-07-27
"59",7,3,2020-08-03
"60",10,3,2020-08-10
"61",12,3,2020-08-17
"62",12,3,2020-08-24
"63",12,3,2020-08-31
"64",14,3,2020-09-07
"65",19,3,2020-09-14
"66",24,3,2020-09-21
"67",25,3,2020-09-28
"68",29,3,2020-10-05
"69",32,3,2020-10-12
"70",6,4,2020-05-11
"71",8,4,2020-05-18
"72",7,4,2020-05-25
"73",6,4,2020-06-01
"74",9,4,2020-06-08
"75",1,4,2020-06-15
"76",2,4,2020-06-22
"77",2,4,2020-06-29
"78",0,4,2020-07-06
"79",8,4,2020-07-13
"80",6,4,2020-07-20
"81",5,4,2020-07-27
"82",9,4,2020-08-03
"83",9,4,2020-08-10
"84",14,4,2020-08-17
"85",12,4,2020-08-24
"86",11,4,2020-08-31
"87",16,4,2020-09-07
"88",17,4,2020-09-14
"89",22,4,2020-09-21
"90",32,4,2020-09-28
"91",36,4,2020-10-05
"92",31,4,2020-10-12
