"","fcast","h"
"1",10,1
"2",0,1
"3",6,1
"4",5,1
"5",11,1
"6",25,1
"7",33,1
"8",28,1
"9",23,1
"10",25,1
"11",34,1
"12",17,1
"13",10,1
"14",15,1
"15",12,1
"16",17,1
"17",21,1
"18",18,1
"19",24,1
"20",33,1
"21",24,1
"22",22,1
"23",18,1
"24",4,2
"25",6,2
"26",10,2
"27",24,2
"28",33,2
"29",31,2
"30",26,2
"31",25,2
"32",24,2
"33",19,2
"34",13,2
"35",12,2
"36",12,2
"37",13,2
"38",16,2
"39",20,2
"40",24,2
"41",25,2
"42",24,2
"43",23,2
"44",23,2
"45",27,2
"46",26,2
"47",13,3
"48",24,3
"49",33,3
"50",30,3
"51",26,3
"52",24,3
"53",23,3
"54",18,3
"55",12,3
"56",12,3
"57",12,3
"58",14,3
"59",17,3
"60",20,3
"61",25,3
"62",25,3
"63",24,3
"64",22,3
"65",22,3
"66",27,3
"67",29,3
"68",32,3
"69",34,3
"70",20,4
"71",29,4
"72",22,4
"73",19,4
"74",16,4
"75",21,4
"76",24,4
"77",18,4
"78",16,4
"79",6,4
"80",12,4
"81",7,4
"82",21,4
"83",22,4
"84",17,4
"85",23,4
"86",12,4
"87",16,4
"88",26,4
"89",19,4
"90",32,4
"91",34,4
"92",43,4
