"","fcast","h"
"1",6,1
"2",6,1
"3",6,1
"4",10,1
"5",10,1
"6",13,1
"7",11,1
"8",11,1
"9",14,1
"10",13,1
"11",18,1
"12",17,1
"13",10,1
"14",14,1
"15",17,1
"16",21,1
"17",30,1
"18",23,1
"19",24,1
"20",19,1
"21",18,1
"22",12,1
"23",14,1
"24",6,2
"25",6,2
"26",9,2
"27",13,2
"28",13,2
"29",12,2
"30",12,2
"31",12,2
"32",13,2
"33",13,2
"34",12,2
"35",13,2
"36",16,2
"37",21,2
"38",24,2
"39",25,2
"40",27,2
"41",23,2
"42",17,2
"43",14,2
"44",12,2
"45",12,2
"46",10,2
"47",10,3
"48",13,3
"49",12,3
"50",12,3
"51",12,3
"52",12,3
"53",14,3
"54",14,3
"55",12,3
"56",13,3
"57",17,3
"58",21,3
"59",24,3
"60",25,3
"61",28,3
"62",21,3
"63",17,3
"64",14,3
"65",12,3
"66",12,3
"67",10,3
"68",10,3
"69",12,3
"70",31,4
"71",36,4
"72",28,4
"73",24,4
"74",23,4
"75",25,4
"76",21,4
"77",19,4
"78",18,4
"79",24,4
"80",23,4
"81",34,4
"82",32,4
"83",27,4
"84",21,4
"85",22,4
"86",16,4
"87",22,4
"88",11,4
"89",19,4
"90",16,4
"91",15,4
"92",15,4
