"","fcast","h"
"1",2,1
"2",16,1
"3",27,1
"4",10,1
"5",14,1
"6",13,1
"7",10,1
"8",16,1
"9",14,1
"10",11,1
"11",12,1
"12",19,1
"13",37,1
"14",25,1
"15",48,1
"16",58,1
"17",65,1
"18",87,1
"19",77,1
"20",74,1
"21",60,1
"22",52,1
"23",49,1
"24",12,2
"25",12,2
"26",12,2
"27",12,2
"28",11,2
"29",11,2
"30",11,2
"31",12,2
"32",12,2
"33",15,2
"34",20,2
"35",31,2
"36",52,2
"37",67,2
"38",79,2
"39",96,2
"40",95,2
"41",89,2
"42",76,2
"43",63,2
"44",52,2
"45",41,2
"46",35,2
"47",12,3
"48",12,3
"49",11,3
"50",11,3
"51",11,3
"52",12,3
"53",12,3
"54",16,3
"55",21,3
"56",33,3
"57",57,3
"58",68,3
"59",82,3
"60",98,3
"61",94,3
"62",87,3
"63",72,3
"64",62,3
"65",50,3
"66",41,3
"67",31,3
"68",26,3
"69",27,3
"70",27,4
"71",28,4
"72",14,4
"73",15,4
"74",15,4
"75",16,4
"76",20,4
"77",22,4
"78",35,4
"79",61,4
"80",70,4
"81",103,4
"82",94,4
"83",99,4
"84",90,4
"85",90,4
"86",88,4
"87",56,4
"88",36,4
"89",60,4
"90",45,4
"91",41,4
"92",41,4
