"","fcast","h"
"1",16,1
"2",46,1
"3",28,1
"4",87,1
"5",80,1
"6",55,1
"7",43,1
"8",55,1
"9",60,1
"10",49,1
"11",49,1
"12",76,1
"13",38,1
"14",49,1
"15",62,1
"16",82,1
"17",102,1
"18",122,1
"19",106,1
"20",102,1
"21",91,1
"22",85,1
"23",95,1
"24",30,2
"25",37,2
"26",62,2
"27",58,2
"28",50,2
"29",52,2
"30",50,2
"31",50,2
"32",45,2
"33",38,2
"34",39,2
"35",52,2
"36",72,2
"37",91,2
"38",110,2
"39",121,2
"40",120,2
"41",109,2
"42",101,2
"43",92,2
"44",87,2
"45",98,2
"46",99,2
"47",61,3
"48",56,3
"49",52,3
"50",53,3
"51",50,3
"52",49,3
"53",44,3
"54",38,3
"55",39,3
"56",55,3
"57",77,3
"58",94,3
"59",113,3
"60",122,3
"61",118,3
"62",108,3
"63",99,3
"64",91,3
"65",88,3
"66",100,3
"67",97,3
"68",91,3
"69",89,3
"70",192,4
"71",193,4
"72",198,4
"73",100,4
"74",127,4
"75",92,4
"76",87,4
"77",87,4
"78",104,4
"79",128,4
"80",99,4
"81",127,4
"82",159,4
"83",128,4
"84",137,4
"85",128,4
"86",102,4
"87",109,4
"88",119,4
"89",184,4
"90",92,4
"91",141,4
"92",98,4
