"","fcast","h","date"
"1",16,1,2020-05-11
"2",46,1,2020-05-18
"3",28,1,2020-05-25
"4",87,1,2020-06-01
"5",80,1,2020-06-08
"6",55,1,2020-06-15
"7",43,1,2020-06-22
"8",55,1,2020-06-29
"9",60,1,2020-07-06
"10",49,1,2020-07-13
"11",49,1,2020-07-20
"12",76,1,2020-07-27
"13",38,1,2020-08-03
"14",49,1,2020-08-10
"15",62,1,2020-08-17
"16",82,1,2020-08-24
"17",102,1,2020-08-31
"18",122,1,2020-09-07
"19",106,1,2020-09-14
"20",102,1,2020-09-21
"21",91,1,2020-09-28
"22",85,1,2020-10-05
"23",95,1,2020-10-12
"24",30,2,2020-05-11
"25",37,2,2020-05-18
"26",62,2,2020-05-25
"27",58,2,2020-06-01
"28",50,2,2020-06-08
"29",52,2,2020-06-15
"30",50,2,2020-06-22
"31",50,2,2020-06-29
"32",45,2,2020-07-06
"33",38,2,2020-07-13
"34",39,2,2020-07-20
"35",52,2,2020-07-27
"36",72,2,2020-08-03
"37",91,2,2020-08-10
"38",110,2,2020-08-17
"39",121,2,2020-08-24
"40",120,2,2020-08-31
"41",109,2,2020-09-07
"42",101,2,2020-09-14
"43",92,2,2020-09-21
"44",87,2,2020-09-28
"45",98,2,2020-10-05
"46",99,2,2020-10-12
"47",61,3,2020-05-11
"48",56,3,2020-05-18
"49",52,3,2020-05-25
"50",53,3,2020-06-01
"51",50,3,2020-06-08
"52",49,3,2020-06-15
"53",44,3,2020-06-22
"54",38,3,2020-06-29
"55",39,3,2020-07-06
"56",55,3,2020-07-13
"57",77,3,2020-07-20
"58",94,3,2020-07-27
"59",113,3,2020-08-03
"60",122,3,2020-08-10
"61",118,3,2020-08-17
"62",108,3,2020-08-24
"63",99,3,2020-08-31
"64",91,3,2020-09-07
"65",88,3,2020-09-14
"66",100,3,2020-09-21
"67",97,3,2020-09-28
"68",91,3,2020-10-05
"69",89,3,2020-10-12
"70",192,4,2020-05-11
"71",193,4,2020-05-18
"72",198,4,2020-05-25
"73",100,4,2020-06-01
"74",127,4,2020-06-08
"75",92,4,2020-06-15
"76",87,4,2020-06-22
"77",87,4,2020-06-29
"78",104,4,2020-07-06
"79",128,4,2020-07-13
"80",99,4,2020-07-20
"81",127,4,2020-07-27
"82",159,4,2020-08-03
"83",128,4,2020-08-10
"84",137,4,2020-08-17
"85",128,4,2020-08-24
"86",102,4,2020-08-31
"87",109,4,2020-09-07
"88",119,4,2020-09-14
"89",184,4,2020-09-21
"90",92,4,2020-09-28
"91",141,4,2020-10-05
"92",98,4,2020-10-12
