"","fcast","h"
"1",2,1
"2",5,1
"3",11,1
"4",7,1
"5",6,1
"6",8,1
"7",7,1
"8",6,1
"9",10,1
"10",10,1
"11",7,1
"12",10,1
"13",15,1
"14",28,1
"15",30,1
"16",40,1
"17",51,1
"18",54,1
"19",69,1
"20",74,1
"21",56,1
"22",55,1
"23",58,1
"24",10,2
"25",10,2
"26",7,2
"27",8,2
"28",8,2
"29",8,2
"30",9,2
"31",8,2
"32",7,2
"33",9,2
"34",17,2
"35",28,2
"36",34,2
"37",43,2
"38",58,2
"39",64,2
"40",81,2
"41",83,2
"42",66,2
"43",61,2
"44",61,2
"45",66,2
"46",71,2
"47",7,3
"48",8,3
"49",7,3
"50",8,3
"51",9,3
"52",8,3
"53",7,3
"54",10,3
"55",19,3
"56",29,3
"57",34,3
"58",45,3
"59",59,3
"60",66,3
"61",83,3
"62",81,3
"63",66,3
"64",61,3
"65",61,3
"66",68,3
"67",73,3
"68",82,3
"69",92,3
"70",23,4
"71",12,4
"72",16,4
"73",16,4
"74",11,4
"75",13,4
"76",15,4
"77",22,4
"78",21,4
"79",32,4
"80",39,4
"81",57,4
"82",65,4
"83",72,4
"84",66,4
"85",64,4
"86",66,4
"87",55,4
"88",54,4
"89",57,4
"90",77,4
"91",72,4
"92",86,4
