"","fcast","h"
"1",4,1
"2",6,1
"3",5,1
"4",6,1
"5",6,1
"6",10,1
"7",8,1
"8",8,1
"9",5,1
"10",9,1
"11",6,1
"12",7,1
"13",14,1
"14",15,1
"15",15,1
"16",22,1
"17",22,1
"18",26,1
"19",24,1
"20",28,1
"21",27,1
"22",20,1
"23",17,1
"24",6,2
"25",6,2
"26",6,2
"27",6,2
"28",6,2
"29",6,2
"30",6,2
"31",6,2
"32",6,2
"33",8,2
"34",14,2
"35",17,2
"36",19,2
"37",23,2
"38",27,2
"39",30,2
"40",30,2
"41",30,2
"42",28,2
"43",24,2
"44",22,2
"45",19,2
"46",19,2
"47",6,3
"48",6,3
"49",6,3
"50",6,3
"51",6,3
"52",6,3
"53",6,3
"54",9,3
"55",15,3
"56",18,3
"57",20,3
"58",24,3
"59",28,3
"60",30,3
"61",30,3
"62",30,3
"63",27,3
"64",24,3
"65",22,3
"66",18,3
"67",18,3
"68",19,3
"69",20,3
"70",12,4
"71",5,4
"72",7,4
"73",3,4
"74",8,4
"75",12,4
"76",11,4
"77",12,4
"78",16,4
"79",22,4
"80",28,4
"81",30,4
"82",39,4
"83",29,4
"84",32,4
"85",30,4
"86",31,4
"87",22,4
"88",23,4
"89",23,4
"90",17,4
"91",29,4
"92",33,4
