"","fcast","h"
"1",29,1
"2",62,1
"3",97,1
"4",118,1
"5",110,1
"6",124,1
"7",94,1
"8",88,1
"9",65,1
"10",65,1
"11",50,1
"12",45,1
"13",34,1
"14",37,1
"15",45,1
"16",51,1
"17",58,1
"18",87,1
"19",103,1
"20",89,1
"21",61,1
"22",69,1
"23",72,1
"24",113,2
"25",134,2
"26",127,2
"27",124,2
"28",112,2
"29",96,2
"30",82,2
"31",69,2
"32",56,2
"33",47,2
"34",41,2
"35",41,2
"36",51,2
"37",62,2
"38",69,2
"39",76,2
"40",83,2
"41",75,2
"42",70,2
"43",67,2
"44",59,2
"45",64,2
"46",70,2
"47",127,3
"48",123,3
"49",111,3
"50",93,3
"51",80,3
"52",67,3
"53",55,3
"54",46,3
"55",39,3
"56",41,3
"57",53,3
"58",62,3
"59",70,3
"60",78,3
"61",82,3
"62",74,3
"63",70,3
"64",67,3
"65",58,3
"66",65,3
"67",70,3
"68",71,3
"69",72,3
"70",673,4
"71",345,4
"72",365,4
"73",201,4
"74",243,4
"75",174,4
"76",111,4
"77",115,4
"78",101,4
"79",111,4
"80",88,4
"81",93,4
"82",91,4
"83",88,4
"84",108,4
"85",89,4
"86",88,4
"87",77,4
"88",64,4
"89",80,4
"90",86,4
"91",88,4
"92",88,4
