"","fcast","h"
"1",18,1
"2",15,1
"3",18,1
"4",19,1
"5",23,1
"6",14,1
"7",19,1
"8",14,1
"9",19,1
"10",25,1
"11",25,1
"12",32,1
"13",60,1
"14",77,1
"15",109,1
"16",123,1
"17",134,1
"18",153,1
"19",134,1
"20",120,1
"21",93,1
"22",61,1
"23",88,1
"24",17,2
"25",15,2
"26",12,2
"27",15,2
"28",14,2
"29",12,2
"30",15,2
"31",18,2
"32",24,2
"33",38,2
"34",60,2
"35",84,2
"36",119,2
"37",142,2
"38",157,2
"39",165,2
"40",149,2
"41",127,2
"42",102,2
"43",78,2
"44",71,2
"45",80,2
"46",81,2
"47",13,3
"48",15,3
"49",13,3
"50",13,3
"51",14,3
"52",18,3
"53",24,3
"54",41,3
"55",63,3
"56",89,3
"57",125,3
"58",146,3
"59",159,3
"60",162,3
"61",145,3
"62",126,3
"63",98,3
"64",77,3
"65",74,3
"66",82,3
"67",82,3
"68",86,3
"69",95,3
"70",38,4
"71",27,4
"72",30,4
"73",33,4
"74",30,4
"75",38,4
"76",51,4
"77",71,4
"78",105,4
"79",136,4
"80",154,4
"81",254,4
"82",221,4
"83",197,4
"84",178,4
"85",165,4
"86",122,4
"87",136,4
"88",106,4
"89",101,4
"90",110,4
"91",110,4
"92",80,4
