"","fcast","h"
"1",28,1
"2",39,1
"3",59,1
"4",71,1
"5",74,1
"6",84,1
"7",106,1
"8",133,1
"9",175,1
"10",177,1
"11",233,1
"12",853,1
"13",294,1
"14",360,1
"15",472,1
"16",588,1
"17",814,1
"18",755,1
"19",667,1
"20",694,1
"21",636,1
"22",647,1
"23",537,1
"24",64,2
"25",78,2
"26",73,2
"27",77,2
"28",89,2
"29",103,2
"30",107,2
"31",99,2
"32",120,2
"33",149,2
"34",207,2
"35",350,2
"36",515,2
"37",667,2
"38",828,2
"39",876,2
"40",778,2
"41",724,2
"42",673,2
"43",617,2
"44",521,2
"45",431,2
"46",366,2
"47",73,3
"48",79,3
"49",92,3
"50",105,3
"51",107,3
"52",100,3
"53",125,3
"54",152,3
"55",226,3
"56",378,3
"57",536,3
"58",697,3
"59",855,3
"60",870,3
"61",765,3
"62",723,3
"63",673,3
"64",604,3
"65",504,3
"66",426,3
"67",346,3
"68",373,3
"69",495,3
"70",126,4
"71",162,4
"72",152,4
"73",127,4
"74",136,4
"75",150,4
"76",209,4
"77",286,4
"78",409,4
"79",671,4
"80",807,4
"81",982,4
"82",1027,4
"83",1062,4
"84",752,4
"85",945,4
"86",724,4
"87",641,4
"88",547,4
"89",515,4
"90",512,4
"91",503,4
"92",434,4
