"","fcast","h","date"
"1",28,1,2020-05-11
"2",39,1,2020-05-18
"3",59,1,2020-05-25
"4",71,1,2020-06-01
"5",74,1,2020-06-08
"6",84,1,2020-06-15
"7",106,1,2020-06-22
"8",133,1,2020-06-29
"9",175,1,2020-07-06
"10",177,1,2020-07-13
"11",233,1,2020-07-20
"12",853,1,2020-07-27
"13",294,1,2020-08-03
"14",360,1,2020-08-10
"15",472,1,2020-08-17
"16",588,1,2020-08-24
"17",814,1,2020-08-31
"18",755,1,2020-09-07
"19",667,1,2020-09-14
"20",694,1,2020-09-21
"21",636,1,2020-09-28
"22",647,1,2020-10-05
"23",537,1,2020-10-12
"24",64,2,2020-05-11
"25",78,2,2020-05-18
"26",73,2,2020-05-25
"27",77,2,2020-06-01
"28",89,2,2020-06-08
"29",103,2,2020-06-15
"30",107,2,2020-06-22
"31",99,2,2020-06-29
"32",120,2,2020-07-06
"33",149,2,2020-07-13
"34",207,2,2020-07-20
"35",350,2,2020-07-27
"36",515,2,2020-08-03
"37",667,2,2020-08-10
"38",828,2,2020-08-17
"39",876,2,2020-08-24
"40",778,2,2020-08-31
"41",724,2,2020-09-07
"42",673,2,2020-09-14
"43",617,2,2020-09-21
"44",521,2,2020-09-28
"45",431,2,2020-10-05
"46",366,2,2020-10-12
"47",73,3,2020-05-11
"48",79,3,2020-05-18
"49",92,3,2020-05-25
"50",105,3,2020-06-01
"51",107,3,2020-06-08
"52",100,3,2020-06-15
"53",125,3,2020-06-22
"54",152,3,2020-06-29
"55",226,3,2020-07-06
"56",378,3,2020-07-13
"57",536,3,2020-07-20
"58",697,3,2020-07-27
"59",855,3,2020-08-03
"60",870,3,2020-08-10
"61",765,3,2020-08-17
"62",723,3,2020-08-24
"63",673,3,2020-08-31
"64",604,3,2020-09-07
"65",504,3,2020-09-14
"66",426,3,2020-09-21
"67",346,3,2020-09-28
"68",373,3,2020-10-05
"69",495,3,2020-10-12
"70",126,4,2020-05-11
"71",162,4,2020-05-18
"72",152,4,2020-05-25
"73",127,4,2020-06-01
"74",136,4,2020-06-08
"75",150,4,2020-06-15
"76",209,4,2020-06-22
"77",286,4,2020-06-29
"78",409,4,2020-07-06
"79",671,4,2020-07-13
"80",807,4,2020-07-20
"81",982,4,2020-07-27
"82",1027,4,2020-08-03
"83",1062,4,2020-08-10
"84",752,4,2020-08-17
"85",945,4,2020-08-24
"86",724,4,2020-08-31
"87",641,4,2020-09-07
"88",547,4,2020-09-14
"89",515,4,2020-09-21
"90",512,4,2020-09-28
"91",503,4,2020-10-05
"92",434,4,2020-10-12
