"","fcast","h","date"
"1",2,1,2020-05-11
"2",6,1,2020-05-18
"3",9,1,2020-05-25
"4",7,1,2020-06-01
"5",13,1,2020-06-08
"6",16,1,2020-06-15
"7",11,1,2020-06-22
"8",13,1,2020-06-29
"9",18,1,2020-07-06
"10",13,1,2020-07-13
"11",21,1,2020-07-20
"12",33,1,2020-07-27
"13",28,1,2020-08-03
"14",44,1,2020-08-10
"15",41,1,2020-08-17
"16",47,1,2020-08-24
"17",48,1,2020-08-31
"18",47,1,2020-09-07
"19",43,1,2020-09-14
"20",37,1,2020-09-21
"21",31,1,2020-09-28
"22",34,1,2020-10-05
"23",35,1,2020-10-12
"24",10,2,2020-05-11
"25",11,2,2020-05-18
"26",11,2,2020-05-25
"27",12,2,2020-06-01
"28",12,2,2020-06-08
"29",12,2,2020-06-15
"30",13,2,2020-06-22
"31",14,2,2020-06-29
"32",20,2,2020-07-06
"33",28,2,2020-07-13
"34",33,2,2020-07-20
"35",40,2,2020-07-27
"36",46,2,2020-08-03
"37",51,2,2020-08-10
"38",56,2,2020-08-17
"39",56,2,2020-08-24
"40",50,2,2020-08-31
"41",42,2,2020-09-07
"42",37,2,2020-09-14
"43",33,2,2020-09-21
"44",32,2,2020-09-28
"45",34,2,2020-10-05
"46",37,2,2020-10-12
"47",11,3,2020-05-11
"48",12,3,2020-05-18
"49",12,3,2020-05-25
"50",12,3,2020-06-01
"51",13,3,2020-06-08
"52",14,3,2020-06-15
"53",22,3,2020-06-22
"54",29,3,2020-06-29
"55",33,3,2020-07-06
"56",41,3,2020-07-13
"57",47,3,2020-07-20
"58",51,3,2020-07-27
"59",57,3,2020-08-03
"60",55,3,2020-08-10
"61",48,3,2020-08-17
"62",42,3,2020-08-24
"63",36,3,2020-08-31
"64",32,3,2020-09-07
"65",33,3,2020-09-14
"66",36,3,2020-09-21
"67",38,3,2020-09-28
"68",54,3,2020-10-05
"69",68,3,2020-10-12
"70",18,4,2020-05-11
"71",15,4,2020-05-18
"72",19,4,2020-05-25
"73",15,4,2020-06-01
"74",12,4,2020-06-08
"75",21,4,2020-06-15
"76",21,4,2020-06-22
"77",26,4,2020-06-29
"78",31,4,2020-07-06
"79",37,4,2020-07-13
"80",47,4,2020-07-20
"81",40,4,2020-07-27
"82",40,4,2020-08-03
"83",33,4,2020-08-10
"84",29,4,2020-08-17
"85",26,4,2020-08-24
"86",27,4,2020-08-31
"87",23,4,2020-09-07
"88",24,4,2020-09-14
"89",22,4,2020-09-21
"90",41,4,2020-09-28
"91",55,4,2020-10-05
"92",79,4,2020-10-12
