"","fcast","h","date"
"1",14,1,2020-05-11
"2",11,1,2020-05-18
"3",60,1,2020-05-25
"4",49,1,2020-06-01
"5",42,1,2020-06-08
"6",54,1,2020-06-15
"7",69,1,2020-06-22
"8",66,1,2020-06-29
"9",70,1,2020-07-06
"10",79,1,2020-07-13
"11",86,1,2020-07-20
"12",64,1,2020-07-27
"13",39,1,2020-08-03
"14",40,1,2020-08-10
"15",44,1,2020-08-17
"16",46,1,2020-08-24
"17",69,1,2020-08-31
"18",79,1,2020-09-07
"19",100,1,2020-09-14
"20",82,1,2020-09-21
"21",94,1,2020-09-28
"22",69,1,2020-10-05
"23",77,1,2020-10-12
"24",25,2,2020-05-11
"25",35,2,2020-05-18
"26",46,2,2020-05-25
"27",60,2,2020-06-01
"28",70,2,2020-06-08
"29",75,2,2020-06-15
"30",80,2,2020-06-22
"31",88,2,2020-06-29
"32",89,2,2020-07-06
"33",69,2,2020-07-13
"34",51,2,2020-07-20
"35",47,2,2020-07-27
"36",48,2,2020-08-03
"37",54,2,2020-08-10
"38",70,2,2020-08-17
"39",86,2,2020-08-24
"40",94,2,2020-08-31
"41",96,2,2020-09-07
"42",96,2,2020-09-14
"43",85,2,2020-09-21
"44",84,2,2020-09-28
"45",88,2,2020-10-05
"46",89,2,2020-10-12
"47",46,3,2020-05-11
"48",61,3,2020-05-18
"49",71,3,2020-05-25
"50",76,3,2020-06-01
"51",81,3,2020-06-08
"52",90,3,2020-06-15
"53",87,3,2020-06-22
"54",66,3,2020-06-29
"55",50,3,2020-07-06
"56",47,3,2020-07-13
"57",49,3,2020-07-20
"58",56,3,2020-07-27
"59",73,3,2020-08-03
"60",89,3,2020-08-10
"61",94,3,2020-08-17
"62",98,3,2020-08-24
"63",95,3,2020-08-31
"64",84,3,2020-09-07
"65",83,3,2020-09-14
"66",88,3,2020-09-21
"67",89,3,2020-09-28
"68",89,3,2020-10-05
"69",86,3,2020-10-12
"70",115,4,2020-05-11
"71",126,4,2020-05-18
"72",122,4,2020-05-25
"73",119,4,2020-06-01
"74",87,4,2020-06-08
"75",76,4,2020-06-15
"76",62,4,2020-06-22
"77",87,4,2020-06-29
"78",79,4,2020-07-06
"79",86,4,2020-07-13
"80",60,4,2020-07-20
"81",74,4,2020-07-27
"82",109,4,2020-08-03
"83",102,4,2020-08-10
"84",81,4,2020-08-17
"85",81,4,2020-08-24
"86",96,4,2020-08-31
"87",105,4,2020-09-07
"88",63,4,2020-09-14
"89",225,4,2020-09-21
"90",124,4,2020-09-28
"91",85,4,2020-10-05
"92",77,4,2020-10-12
