"","fcast","h","date"
"1",19,1,2020-05-11
"2",32,1,2020-05-18
"3",37,1,2020-05-25
"4",31,1,2020-06-01
"5",25,1,2020-06-08
"6",18,1,2020-06-15
"7",24,1,2020-06-22
"8",24,1,2020-06-29
"9",25,1,2020-07-06
"10",28,1,2020-07-13
"11",34,1,2020-07-20
"12",32,1,2020-07-27
"13",33,1,2020-08-03
"14",43,1,2020-08-10
"15",44,1,2020-08-17
"16",54,1,2020-08-24
"17",61,1,2020-08-31
"18",63,1,2020-09-07
"19",67,1,2020-09-14
"20",62,1,2020-09-21
"21",58,1,2020-09-28
"22",52,1,2020-10-05
"23",45,1,2020-10-12
"24",41,2,2020-05-11
"25",30,2,2020-05-18
"26",20,2,2020-05-25
"27",19,2,2020-06-01
"28",22,2,2020-06-08
"29",22,2,2020-06-15
"30",18,2,2020-06-22
"31",20,2,2020-06-29
"32",27,2,2020-07-06
"33",28,2,2020-07-13
"34",30,2,2020-07-20
"35",37,2,2020-07-27
"36",46,2,2020-08-03
"37",57,2,2020-08-10
"38",68,2,2020-08-17
"39",76,2,2020-08-24
"40",73,2,2020-08-31
"41",69,2,2020-09-07
"42",61,2,2020-09-14
"43",53,2,2020-09-21
"44",48,2,2020-09-28
"45",43,2,2020-10-05
"46",38,2,2020-10-12
"47",19,3,2020-05-11
"48",19,3,2020-05-18
"49",23,3,2020-05-25
"50",21,3,2020-06-01
"51",18,3,2020-06-08
"52",22,3,2020-06-15
"53",28,3,2020-06-22
"54",29,3,2020-06-29
"55",31,3,2020-07-06
"56",39,3,2020-07-13
"57",47,3,2020-07-20
"58",57,3,2020-07-27
"59",70,3,2020-08-03
"60",74,3,2020-08-10
"61",72,3,2020-08-17
"62",67,3,2020-08-24
"63",58,3,2020-08-31
"64",54,3,2020-09-07
"65",47,3,2020-09-14
"66",42,3,2020-09-21
"67",38,3,2020-09-28
"68",36,3,2020-10-05
"69",38,3,2020-10-12
"70",53,4,2020-05-11
"71",48,4,2020-05-18
"72",32,4,2020-05-25
"73",25,4,2020-06-01
"74",32,4,2020-06-08
"75",29,4,2020-06-15
"76",33,4,2020-06-22
"77",41,4,2020-06-29
"78",44,4,2020-07-06
"79",54,4,2020-07-13
"80",56,4,2020-07-20
"81",75,4,2020-07-27
"82",78,4,2020-08-03
"83",81,4,2020-08-10
"84",64,4,2020-08-17
"85",46,4,2020-08-24
"86",47,4,2020-08-31
"87",41,4,2020-09-07
"88",34,4,2020-09-14
"89",43,4,2020-09-21
"90",42,4,2020-09-28
"91",44,4,2020-10-05
"92",54,4,2020-10-12
