"","fcast","h"
"1",9,1
"2",15,1
"3",24,1
"4",15,1
"5",16,1
"6",25,1
"7",25,1
"8",24,1
"9",29,1
"10",39,1
"11",43,1
"12",29,1
"13",34,1
"14",28,1
"15",37,1
"16",50,1
"17",56,1
"18",75,1
"19",72,1
"20",68,1
"21",69,1
"22",69,1
"23",79,1
"24",14,2
"25",12,2
"26",14,2
"27",21,2
"28",28,2
"29",28,2
"30",29,2
"31",36,2
"32",37,2
"33",30,2
"34",25,2
"35",29,2
"36",39,2
"37",51,2
"38",66,2
"39",77,2
"40",79,2
"41",77,2
"42",71,2
"43",67,2
"44",62,2
"45",64,2
"46",73,2
"47",15,3
"48",22,3
"49",28,3
"50",28,3
"51",32,3
"52",38,3
"53",37,3
"54",28,3
"55",25,3
"56",31,3
"57",42,3
"58",53,3
"59",67,3
"60",79,3
"61",80,3
"62",76,3
"63",71,3
"64",65,3
"65",62,3
"66",67,3
"67",83,3
"68",120,3
"69",148,3
"70",42,4
"71",39,4
"72",44,4
"73",57,4
"74",39,4
"75",35,4
"76",28,4
"77",27,4
"78",24,4
"79",33,4
"80",44,4
"81",58,4
"82",61,4
"83",64,4
"84",60,4
"85",48,4
"86",52,4
"87",52,4
"88",57,4
"89",69,4
"90",101,4
"91",127,4
"92",184,4
