"","fcast","h"
"1",0,1
"2",1,1
"3",2,1
"4",5,1
"5",3,1
"6",0,1
"7",0,1
"8",0,1
"9",2,1
"10",5,1
"11",2,1
"12",2,1
"13",0,1
"14",4,1
"15",4,1
"16",7,1
"17",10,1
"18",9,1
"19",21,1
"20",10,1
"21",14,1
"22",13,1
"23",12,1
"24",3,2
"25",4,2
"26",2,2
"27",1,2
"28",0,2
"29",0,2
"30",1,2
"31",4,2
"32",3,2
"33",0,2
"34",1,2
"35",4,2
"36",6,2
"37",8,2
"38",11,2
"39",12,2
"40",12,2
"41",12,2
"42",12,2
"43",12,2
"44",10,2
"45",12,2
"46",16,2
"47",3,3
"48",1,3
"49",0,3
"50",0,3
"51",2,3
"52",5,3
"53",3,3
"54",0,3
"55",1,3
"56",5,3
"57",6,3
"58",9,3
"59",12,3
"60",12,3
"61",12,3
"62",12,3
"63",12,3
"64",12,3
"65",11,3
"66",13,3
"67",16,3
"68",16,3
"69",18,3
"70",3,4
"71",9,4
"72",2,4
"73",2,4
"74",6,4
"75",2,4
"76",1,4
"77",4,4
"78",3,4
"79",4,4
"80",7,4
"81",7,4
"82",13,4
"83",21,4
"84",18,4
"85",15,4
"86",26,4
"87",25,4
"88",18,4
"89",26,4
"90",21,4
"91",24,4
"92",17,4
