"","fcast","h","date"
"1",0,1,2020-05-11
"2",1,1,2020-05-18
"3",2,1,2020-05-25
"4",5,1,2020-06-01
"5",3,1,2020-06-08
"6",0,1,2020-06-15
"7",0,1,2020-06-22
"8",0,1,2020-06-29
"9",2,1,2020-07-06
"10",5,1,2020-07-13
"11",2,1,2020-07-20
"12",2,1,2020-07-27
"13",0,1,2020-08-03
"14",4,1,2020-08-10
"15",4,1,2020-08-17
"16",7,1,2020-08-24
"17",10,1,2020-08-31
"18",9,1,2020-09-07
"19",21,1,2020-09-14
"20",10,1,2020-09-21
"21",14,1,2020-09-28
"22",13,1,2020-10-05
"23",12,1,2020-10-12
"24",3,2,2020-05-11
"25",4,2,2020-05-18
"26",2,2,2020-05-25
"27",1,2,2020-06-01
"28",0,2,2020-06-08
"29",0,2,2020-06-15
"30",1,2,2020-06-22
"31",4,2,2020-06-29
"32",3,2,2020-07-06
"33",0,2,2020-07-13
"34",1,2,2020-07-20
"35",4,2,2020-07-27
"36",6,2,2020-08-03
"37",8,2,2020-08-10
"38",11,2,2020-08-17
"39",12,2,2020-08-24
"40",12,2,2020-08-31
"41",12,2,2020-09-07
"42",12,2,2020-09-14
"43",12,2,2020-09-21
"44",10,2,2020-09-28
"45",12,2,2020-10-05
"46",16,2,2020-10-12
"47",3,3,2020-05-11
"48",1,3,2020-05-18
"49",0,3,2020-05-25
"50",0,3,2020-06-01
"51",2,3,2020-06-08
"52",5,3,2020-06-15
"53",3,3,2020-06-22
"54",0,3,2020-06-29
"55",1,3,2020-07-06
"56",5,3,2020-07-13
"57",6,3,2020-07-20
"58",9,3,2020-07-27
"59",12,3,2020-08-03
"60",12,3,2020-08-10
"61",12,3,2020-08-17
"62",12,3,2020-08-24
"63",12,3,2020-08-31
"64",12,3,2020-09-07
"65",11,3,2020-09-14
"66",13,3,2020-09-21
"67",16,3,2020-09-28
"68",16,3,2020-10-05
"69",18,3,2020-10-12
"70",3,4,2020-05-11
"71",9,4,2020-05-18
"72",2,4,2020-05-25
"73",2,4,2020-06-01
"74",6,4,2020-06-08
"75",2,4,2020-06-15
"76",1,4,2020-06-22
"77",4,4,2020-06-29
"78",3,4,2020-07-06
"79",4,4,2020-07-13
"80",7,4,2020-07-20
"81",7,4,2020-07-27
"82",13,4,2020-08-03
"83",21,4,2020-08-10
"84",18,4,2020-08-17
"85",15,4,2020-08-24
"86",26,4,2020-08-31
"87",25,4,2020-09-07
"88",18,4,2020-09-14
"89",26,4,2020-09-21
"90",21,4,2020-09-28
"91",24,4,2020-10-05
"92",17,4,2020-10-12
