"","fcast","h","date"
"1",0,1,2020-05-11
"2",2,1,2020-05-18
"3",0,1,2020-05-25
"4",1,1,2020-06-01
"5",0,1,2020-06-08
"6",1,1,2020-06-15
"7",0,1,2020-06-22
"8",0,1,2020-06-29
"9",0,1,2020-07-06
"10",0,1,2020-07-13
"11",0,1,2020-07-20
"12",0,1,2020-07-27
"13",1,1,2020-08-03
"14",0,1,2020-08-10
"15",0,1,2020-08-17
"16",0,1,2020-08-24
"17",3,1,2020-08-31
"18",5,1,2020-09-07
"19",5,1,2020-09-14
"20",5,1,2020-09-21
"21",2,1,2020-09-28
"22",4,1,2020-10-05
"23",5,1,2020-10-12
"24",0,2,2020-05-11
"25",0,2,2020-05-18
"26",0,2,2020-05-25
"27",0,2,2020-06-01
"28",0,2,2020-06-08
"29",0,2,2020-06-15
"30",0,2,2020-06-22
"31",0,2,2020-06-29
"32",0,2,2020-07-06
"33",0,2,2020-07-13
"34",0,2,2020-07-20
"35",0,2,2020-07-27
"36",0,2,2020-08-03
"37",0,2,2020-08-10
"38",3,2,2020-08-17
"39",6,2,2020-08-24
"40",6,2,2020-08-31
"41",6,2,2020-09-07
"42",4,2,2020-09-14
"43",4,2,2020-09-21
"44",6,2,2020-09-28
"45",3,2,2020-10-05
"46",2,2,2020-10-12
"47",0,3,2020-05-11
"48",0,3,2020-05-18
"49",0,3,2020-05-25
"50",0,3,2020-06-01
"51",0,3,2020-06-08
"52",0,3,2020-06-15
"53",0,3,2020-06-22
"54",0,3,2020-06-29
"55",0,3,2020-07-06
"56",0,3,2020-07-13
"57",0,3,2020-07-20
"58",0,3,2020-07-27
"59",3,3,2020-08-03
"60",6,3,2020-08-10
"61",6,3,2020-08-17
"62",5,3,2020-08-24
"63",3,3,2020-08-31
"64",4,3,2020-09-07
"65",6,3,2020-09-14
"66",3,3,2020-09-21
"67",2,3,2020-09-28
"68",6,3,2020-10-05
"69",6,3,2020-10-12
"70",0,4,2020-05-11
"71",1,4,2020-05-18
"72",1,4,2020-05-25
"73",3,4,2020-06-01
"74",0,4,2020-06-08
"75",0,4,2020-06-15
"76",1,4,2020-06-22
"77",0,4,2020-06-29
"78",0,4,2020-07-06
"79",2,4,2020-07-13
"80",4,4,2020-07-20
"81",4,4,2020-07-27
"82",4,4,2020-08-03
"83",2,4,2020-08-10
"84",4,4,2020-08-17
"85",3,4,2020-08-24
"86",2,4,2020-08-31
"87",3,4,2020-09-07
"88",0,4,2020-09-14
"89",5,4,2020-09-21
"90",4,4,2020-09-28
"91",4,4,2020-10-05
"92",9,4,2020-10-12
